Quarter,Time,Down,ToGo,Location,NWE,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss, Jets to receive the opening kickoff.",,
1,15:00,,,NWE 30,0,0,"Stephen Gostkowski kicks off 70 yards, touchback",0.000,0.280
1,14:27,1,10,NYJ 20,0,0,Chad Pennington pass complete short right to Jerricho Cotchery for 9 yards (tackle by Mike Vrabel),0.280,0.950
1,14:27,2,1,NYJ 29,0,0,Thomas Jones right guard for 2 yards (tackle by Ty Warren and Mike Vrabel),0.950,1.000
1,13:43,1,10,NYJ 31,0,0,Leon Washington left end for 3 yards (tackle by Jarvis Green and Ellis Hobbs),1.000,0.870
1,12:58,2,7,NYJ 34,0,0,Chad Pennington pass complete short left to Leon Washington for 11 yards (tackle by Eugene Wilson),0.870,1.930
1,12:17,1,10,NYJ 45,0,0,Thomas Jones right tackle for 1 yard (tackle by Tedy Bruschi),1.930,1.520
1,11:47,2,9,NYJ 46,0,0,Chad Pennington pass incomplete short right intended for Jerricho Cotchery (defended by Adalius Thomas),1.520,0.830
1,11:42,3,9,NYJ 46,0,0,Chad Pennington pass complete short right to Jerricho Cotchery for 8 yards (tackle by James Sanders),0.830,0.200
1,10:57,4,1,NWE 46,0,0,"Ben Graham punts 37 yards, fair catch by Kevin Faulk",0.200,0.380
1,10:51,1,10,NWE 9,0,0,Laurence Maroney right tackle for 11 yards (tackle by Bryan Thomas and Erik Coleman),-0.380,0.280
1,10:22,1,10,NWE 20,0,0,Laurence Maroney left guard for 4 yards (tackle by Kenyon Coleman),0.280,0.270
1,9:40,2,6,NWE 24,0,0,Laurence Maroney right guard for 6 yards (tackle by Shaun Ellis),0.270,0.940
1,8:56,1,10,NWE 30,0,0,Tom Brady pass complete short left to Wes Welker for 9 yards (tackle by Victor Hobson),0.940,1.610
1,8:30,2,1,NWE 39,0,0,Laurence Maroney right tackle for 6 yards (tackle by Kenyon Coleman and Dewayne Robertson),1.610,1.930
1,7:58,1,10,NWE 45,0,0,Laurence Maroney up the middle for 1 yard (tackle by Erik Coleman and Shaun Ellis),1.930,1.520
1,7:23,2,9,NWE 46,0,0,Tom Brady pass complete short right to Wes Welker for 10 yards (tackle by Bryan Thomas),1.520,2.650
1,6:51,1,10,NYJ 44,0,0,Sammy Morris left tackle for 13 yards (tackle by Kerry Rhodes),2.650,3.510
1,6:13,1,10,NYJ 31,0,0,Tom Brady pass complete short right to Randy Moss for 18 yards (tackle by David Barrett),3.510,4.710
1,5:31,1,10,NYJ 13,0,0,Laurence Maroney up the middle for 2 yards (tackle by Sione Pouha),4.710,4.390
1,5:21,2,8,NYJ 11,0,0,Tom Brady pass incomplete short right intended for Wes Welker,4.390,3.450
1,5:17,,,,0,0,Timeout #1 by New England Patriots,0.000,3.450
1,5:17,3,8,NYJ 11,6,0,"Tom Brady pass complete short left to Wes Welker for 11 yards, touchdown",3.450,7.000
1,,,,NYJ 2,7,0,Stephen Gostkowski kicks extra point good,0.000,0.000
1,,,,NWE 30,7,0,"Stephen Gostkowski kicks off 65 yards, returned by Justin Miller for 26 yards (tackle by Kelley Washington). Justin Miller fumbles (forced by Kelley Washington), recovered by Chris Baker at NYJ-33",0.000,1.140
1,5:12,1,10,NYJ 33,7,0,Chad Pennington pass complete short right to Laveranues Coles for 6 yards (tackle by Adalius Thomas),1.140,1.400
1,4:17,2,4,NYJ 39,7,0,Thomas Jones right end for no gain (tackle by Asante Samuel),1.400,0.700
1,3:41,3,4,NYJ 39,7,0,Chad Pennington left end for 3 yards (tackle by Jarvis Green),0.700,-0.590
1,3:00,4,1,NYJ 42,7,0,"Ben Graham punts 58 yards, touchback",-0.590,-0.280
1,2:52,1,10,NWE 20,7,0,Tom Brady pass complete short left to Donte Stallworth for 19 yards (tackle by David Barrett),0.280,1.530
1,2:22,1,10,NWE 39,7,0,Sammy Morris right end for -1 yards (tackle by Bryan Thomas and Jonathan Vilma),1.530,0.850
1,2:22,2,11,NWE 38,7,0,Tom Brady pass complete short right to Wes Welker for 9 yards (tackle by Victor Hobson),0.850,1.360
1,2:22,3,2,NWE 47,7,0,Tom Brady pass incomplete short left intended for Wes Welker,1.360,-0.260
1,0:55,4,2,NWE 47,7,0,"Chris Hanson punts 53 yards, touchback. Penalty on Willie Andrews: Illegal Touch Kick",-0.260,-0.280
1,0:44,1,10,NYJ 20,7,0,Thomas Jones right guard for 1 yard (tackle by Vince Wilfork),0.280,-0.130
1,0:15,2,9,NYJ 21,7,0,Chad Pennington pass incomplete short middle intended for Chris Baker,-0.130,-0.820
1,0:10,,,,7,0,Timeout #2 by New England Patriots,0.000,-0.820
