Quarter,Time,Down,ToGo,Location,BUF,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"49ers won the coin toss and deferred, Bills to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,BUF 25,0,0,"Josh Allen pass incomplete deep left intended for Dawson Knox. Penalty on Javon Kinlaw: Defensive Offside, 5 yards (no play)",0.610,1.340
1,14:55,1,5,BUF 30,0,0,Devin Singletary up the middle for 4 yards (tackle by Dre Greenlaw),1.340,1.280
1,14:13,2,1,BUF 34,0,0,Josh Allen pass complete short left to Cole Beasley for 3 yards (tackle by Fred Warner and Javon Kinlaw),1.280,1.400
1,13:52,1,10,BUF 37,0,0,Josh Allen pass complete deep left to Cole Beasley for 31 yards (tackle by Jason Verrett),1.400,3.450
1,13:08,1,10,SFO 32,0,0,Devin Singletary left tackle for 5 yards (tackle by Dre Greenlaw and Jimmie Ward),3.450,3.580
1,12:36,2,5,SFO 27,0,0,Josh Allen pass complete short left to Stefon Diggs for 5 yards (tackle by Jason Verrett),3.580,4.110
1,11:59,1,10,SFO 22,0,0,Josh Allen pass complete short left to Zack Moss for 5 yards (tackle by Dre Greenlaw),4.110,4.290
1,11:20,2,5,SFO 17,0,0,Zack Moss up the middle for 7 yards (tackle by Fred Warner and Dontae Johnson),4.290,4.910
1,10:36,1,10,SFO 10,0,0,Josh Allen pass incomplete short right,4.910,4.190
1,10:27,2,10,SFO 10,0,0,Zack Moss up the middle for 3 yards (tackle by Arik Armstead),4.190,3.810
1,10:06,3,7,SFO 7,0,0,Josh Allen pass complete short right to Stefon Diggs for 6 yards (tackle by Arik Armstead and Tarvarius Moore),3.810,3.550
1,9:23,4,1,SFO 1,0,0,Josh Allen pass incomplete short middle intended for Lee Smith,3.550,0.380
