#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,9:17,SFO 2,13,7:43,97,Downs
2,1,1:24,BUF 3,3,0:40,3,Touchdown
3,2,13:02,SFO 19,4,2:32,18,Punt
4,2,2:41,SFO 25,5,1:36,29,Punt
5,3,15:00,SFO 25,8,3:46,48,Field Goal
6,3,5:48,SFO 25,2,0:20,0,Interception
7,3,3:09,SFO 25,5,2:43,75,Touchdown
8,4,9:50,SFO 25,8,2:55,70,Interception
9,4,3:30,SFO 27,13,2:47,73,Touchdown
