Quarter,Time,Tm,Detail,BUF,SFO
1.0,0:44,49ers,Brandon Aiyuk 2 yard pass from Nick Mullens (Robbie Gould kick),0,7
2.0,13:02,Bills,Cole Beasley 5 yard pass from Josh Allen (Tyler Bass kick),7,7
,2:41,Bills,Dawson Knox 4 yard pass from Josh Allen (Tyler Bass kick),14,7
,0:00,Bills,Tyler Bass 37 yard field goal,17,7
3.0,11:14,49ers,Robbie Gould 45 yard field goal,17,10
,5:48,Bills,Isaiah McKenzie 23 yard pass from Josh Allen (Tyler Bass kick),24,10
,3:09,Bills,Tyler Bass 28 yard field goal,27,10
,0:26,49ers,Kyle Juszczyk 6 yard pass from Nick Mullens (Robbie Gould kick),27,17
4.0,9:50,Bills,Gabriel Davis 28 yard pass from Josh Allen (Tyler Bass kick),34,17
,0:43,49ers,Jordan Reed 5 yard pass from Nick Mullens (Robbie Gould kick),34,24
