Unnamed: 0,BUF,SFO
First Downs,31,24
Rush-Yds-TDs,27-81-0,21-86-0
Cmp-Att-Yd-TD-INT,32-40-375-4-0,26-39-316-3-2
Sacked-Yards,1-7,0-0
Net Pass Yards,368,316
Total Yards,449,402
Fumbles-Lost,2-1,0-0
Turnovers,1,2
Penalties-Yards,4-50,7-43
Third Down Conv.,4-9,6-11
Fourth Down Conv.,2-3,0-1
Time of Possession,34:58,25:02
