Quarter,Time,Tm,Detail,KAN,BAL
1.0,7:41,Chiefs,Travis Kelce 19 yard pass from Patrick Mahomes (Harrison Butker kick),7,0
,4:58,Ravens,Zay Flowers 30 yard pass from Lamar Jackson (Justin Tucker kick),7,7
2.0,10:56,Chiefs,Isiah Pacheco 2 yard rush (Harrison Butker kick),14,7
,0:04,Chiefs,Harrison Butker 52 yard field goal,17,7
4.0,2:34,Ravens,Justin Tucker 43 yard field goal,17,10
