Unnamed: 0,KAN,BAL
First Downs,22,16
Rush-Yds-TDs,32-89-1,16-81-0
Cmp-Att-Yd-TD-INT,30-39-241-1-0,20-37-272-1-1
Sacked-Yards,2-11,4-17
Net Pass Yards,230,255
Total Yards,319,336
Fumbles-Lost,2-0,2-2
Turnovers,0,3
Penalties-Yards,3-30,8-95
Third Down Conv.,8-18,3-11
Fourth Down Conv.,1-2,2-2
Time of Possession,37:30,22:30
