Unnamed: 0,STL,SEA
First Downs,17,26
Rush-Yds-TDs,15-17-0,34-100-2
Cmp-Att-Yd-TD-INT,32-49-270-1-3,20-32-303-1-0
Sacked-Yards,2-16,2-11
Net Pass Yards,254,292
Total Yards,271,392
Fumbles-Lost,2-2,2-1
Turnovers,5,1
Penalties-Yards,12-102,4-20
Third Down Conv.,8-15,7-14
Fourth Down Conv.,0-1,1-2
Time of Possession,28:39,31:21
