Quarter,Time,Tm,Detail,OAK,MIN
1.0,5:17,Vikings,Adrian Peterson 12 yard rush (Ryan Longwell kick),0,7
,0:57,Raiders,Sebastian Janikowski 29 yard field goal,3,7
2.0,9:10,Raiders,Chaz Schilens 11 yard pass from Carson Palmer (Sebastian Janikowski kick),10,7
,1:20,Raiders,Michael Bush 2 yard rush (Sebastian Janikowski kick),17,7
,0:08,Raiders,Carson Palmer 1 yard rush (Sebastian Janikowski kick),24,7
3.0,0:51,Raiders,Sebastian Janikowski 26 yard field goal,27,7
4.0,14:52,Vikings,Percy Harvin 26 yard pass from Christian Ponder (Ryan Longwell kick),27,14
,5:08,Vikings,Kyle Rudolph 1 yard pass from Christian Ponder (Ryan Longwell kick),27,21
