Quarter,Time,Down,ToGo,Location,OAK,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,OAK 35,0,0,"Sebastian Janikowski kicks off 47 yards, returned by Percy Harvin for 14 yards (tackle by Rock Cartwright)",0.000,1.070
1,14:55,1,10,MIN 32,0,0,"Penalty on Charlie Johnson: False Start, 5 yards (no play)",1.070,0.740
1,14:55,1,15,MIN 27,0,0,Adrian Peterson left guard for 2 yards (tackle by Kamerion Wimbley),0.740,0.120
1,14:21,2,13,MIN 29,0,0,Adrian Peterson left end for 8 yards (tackle by Lito Sheppard),0.120,0.500
1,13:56,3,5,MIN 37,0,0,Christian Ponder pass complete short right to Kyle Rudolph for 4 yards (tackle by Matt Giordano),0.500,-0.650
1,13:03,4,1,MIN 41,0,0,Chris Kluwe punts 45 yards,-0.650,0.280
1,12:56,1,10,OAK 14,0,0,Michael Bush right end for 1 yard (tackle by Brian Robison and Chad Greenway),-0.280,-0.640
1,12:24,2,9,OAK 15,0,0,Marcel Reece right guard for 5 yards (tackle by Remi Ayodele and Kevin Williams),-0.640,-0.680
1,12:01,3,4,OAK 20,0,0,Carson Palmer pass complete short middle to Kevin Boss for 7 yards (tackle by E.J. Henderson),-0.680,0.740
1,11:29,1,10,OAK 27,0,0,Michael Bush left guard for -1 yards (tackle by Benny Sapp),0.740,0.060
1,10:56,2,11,OAK 26,0,0,Carson Palmer pass complete short middle to Kevin Boss for 9 yards (tackle by Tyrell Johnson),0.060,0.560
1,10:13,3,2,OAK 35,0,0,Carson Palmer sacked by Chad Greenway for -5 yards,0.560,-1.370
1,9:52,4,7,OAK 30,0,0,"Shane Lechler punts 46 yards, returned by Marcus Sherels for -1 yards (tackle by David Ausberry)",-1.370,-0.480
1,9:41,1,10,MIN 23,0,0,Adrian Peterson right guard for -1 yards (tackle by John Henderson and Aaron Curry),0.480,-0.200
1,9:06,2,11,MIN 22,0,0,Christian Ponder right end for 10 yards (tackle by Lamarr Houston),-0.200,0.430
1,8:42,3,1,MIN 32,0,0,Christian Ponder pass complete short right to Ryan D'Imperio for 6 yards (tackle by Rolando McClain),0.430,1.470
1,8:08,1,10,MIN 38,0,0,Adrian Peterson left end for -7 yards (tackle by Kamerion Wimbley). Penalty on Steve Hutchinson: Offensive Holding (Declined),1.470,-0.020
1,7:50,2,17,MIN 31,0,0,Christian Ponder pass complete short middle to Percy Harvin for 10 yards (tackle by Tyvon Branch),-0.020,0.630
1,7:09,3,7,MIN 41,0,0,"Christian Ponder sacked by Tommy Kelly for -8 yards. Penalty on Tommy Kelly: Roughing the Passer, 15 yards",0.630,2.130
1,6:51,1,10,MIN 48,0,0,"Christian Ponder pass complete short right to Kyle Rudolph for 2 yards (tackle by Aaron Curry). Penalty on Aaron Curry: Unnecessary Roughness, 15 yards",2.130,3.250
1,6:31,1,10,OAK 35,0,0,"Percy Harvin left end for 18 yards. Penalty on Michael Jenkins: Offensive Holding, 10 yards",3.250,4.420
1,6:17,1,2,OAK 27,0,0,Percy Harvin right end for -6 yards (tackle by Michael Huff),4.420,2.970
1,5:45,2,8,OAK 33,0,0,Christian Ponder pass incomplete deep middle intended for Greg Camarillo,2.970,2.280
