Unnamed: 0,JAX,SDG
First Downs,20,25
Rush-Yds-TDs,11-69-0,35-150-1
Cmp-Att-Yd-TD-INT,31-50-329-2-2,17-25-220-4-0
Sacked-Yards,2-10,3-13
Net Pass Yards,319,207
Total Yards,388,357
Fumbles-Lost,1-1,1-1
Turnovers,3,1
Penalties-Yards,14-93,3-23
Third Down Conv.,2-11,7-13
Fourth Down Conv.,1-2,0-0
Time of Possession,25:08,34:52
