Quarter,Time,Tm,Detail,JAX,SDG
1.0,10:14,Chargers,Melvin Gordon 3 yard rush (Josh Lambo kick),0,7
2.0,14:54,Chargers,Travis Benjamin 6 yard pass from Philip Rivers (Josh Lambo kick),0,14
,9:54,Chargers,Antonio Gates 2 yard pass from Philip Rivers (Josh Lambo kick),0,21
3.0,10:54,Chargers,Tyrell Williams 44 yard pass from Philip Rivers (Josh Lambo kick),0,28
,2:48,Chargers,Travis Benjamin 45 yard pass from Philip Rivers (Josh Lambo kick),0,35
4.0,12:54,Jaguars,Marcedes Lewis 4 yard pass from Blake Bortles (Jason Myers kick),7,35
,7:00,Chargers,Josh Lambo 25 yard field goal,7,38
,1:04,Jaguars,Corey Grant 15 yard pass from Blake Bortles (Jason Myers kick),14,38
