Unnamed: 0,JAX,NYJ
First Downs,19,10
Rush-Yds-TDs,39-147-1,20-66-0
Cmp-Att-Yd-TD-INT,20-31-229-0-0,19-33-182-0-1
Sacked-Yards,1-11,3-21
Net Pass Yards,218,161
Total Yards,365,227
Fumbles-Lost,1-1,2-1
Turnovers,1,2
Penalties-Yards,3-25,9-64
Third Down Conv.,7-16,2-13
Fourth Down Conv.,0-0,1-5
Time of Possession,34:52,25:08
