Quarter,Time,Tm,Detail,KAN,SDG
1.0,9:15,Chargers,LaDainian Tomlinson 15 yard rush (Nate Kaeding kick),0,7
2.0,13:01,Chiefs,Lawrence Tynes 45 yard field goal,3,7
,2:41,Chargers,LaDainian Tomlinson 85 yard rush (Nate Kaeding kick),3,14
3.0,2:22,Chiefs,Lawrence Tynes 52 yard field goal,6,14
4.0,12:18,Chargers,Nate Kaeding 30 yard field goal,6,17
,7:01,Chiefs,Lawrence Tynes 24 yard field goal,9,17
,4:40,Chargers,Nate Kaeding 22 yard field goal,9,20
