Unnamed: 0,KAN,SDG
First Downs,16,16
Rush-Yds-TDs,21-90-0,38-265-2
Cmp-Att-Yd-TD-INT,23-41-185-0-1,8-23-97-0-2
Sacked-Yards,6-34,2-9
Net Pass Yards,151,88
Total Yards,241,353
Fumbles-Lost,1-1,0-0
Turnovers,2,2
Penalties-Yards,3-23,7-61
Third Down Conv.,4-15,2-13
Fourth Down Conv.,0-1,1-1
Time of Possession,31:46,28:14
