Unnamed: 0,WAS,NYG
First Downs,7,19
Rush-Yds-TDs,13-38-0,45-262-2
Cmp-Att-Yd-TD-INT,14-34-127-0-1,12-31-146-1-1
Sacked-Yards,5-40,2-22
Net Pass Yards,87,124
Total Yards,125,386
Fumbles-Lost,3-3,2-0
Turnovers,4,1
Penalties-Yards,10-88,9-73
Third Down Conv.,2-12,7-19
Fourth Down Conv.,0-2,0-1
Time of Possession,20:39,39:21
