Unnamed: 0,CAR,NOR
First Downs,12,23
Rush-Yds-TDs,28-88-0,28-89-1
Cmp-Att-Yd-TD-INT,11-19-162-1-1,29-47-252-0-2
Sacked-Yards,1-7,0-0
Net Pass Yards,155,252
Total Yards,243,341
Fumbles-Lost,2-0,0-0
Turnovers,1,2
Penalties-Yards,7-59,5-35
Third Down Conv.,5-11,8-16
Fourth Down Conv.,0-0,2-2
Time of Possession,24:47,35:13
