Quarter,Time,Tm,Detail,CAR,NOR
1.0,8:11,Panthers,John Kasay 23 yard field goal,3,0
,3:27,Saints,Olindo Mare 25 yard field goal,3,3
2.0,11:22,Panthers,John Kasay 35 yard field goal,6,3
,1:02,Saints,Olindo Mare 28 yard field goal,6,6
3.0,12:18,Saints,Mike Karney 2 yard rush (Olindo Mare kick),6,13
4.0,3:53,Panthers,Steve Smith Sr. 17 yard pass from David Carr (John Kasay kick),13,13
,0:00,Panthers,John Kasay 52 yard field goal,16,13
