Unnamed: 0,BAL,PIT
First Downs,16,11
Rush-Yds-TDs,33-103-1,28-69-0
Cmp-Att-Yd-TD-INT,16-31-192-1-0,14-24-191-1-1
Sacked-Yards,5-52,3-23
Net Pass Yards,140,168
Total Yards,243,237
Fumbles-Lost,4-1,2-0
Turnovers,1,1
Penalties-Yards,8-72,5-29
Third Down Conv.,7-17,5-15
Fourth Down Conv.,0-0,0-0
Time of Possession,34:22,31:43
