Unnamed: 0,CAR,CHI
First Downs,21,23
Rush-Yds-TDs,31-123-0,27-97-2
Cmp-Att-Yd-TD-INT,24-33-319-3-1,17-41-192-1-1
Sacked-Yards,1-8,1-7
Net Pass Yards,311,185
Total Yards,434,282
Fumbles-Lost,3-0,0-0
Turnovers,1,1
Penalties-Yards,9-50,4-19
Third Down Conv.,5-12,3-13
Fourth Down Conv.,0-0,1-2
Time of Possession,33:25,26:35
