Unnamed: 0,DET,JAX
First Downs,25,16
Rush-Yds-TDs,39-180-3,16-44-1
Cmp-Att-Yd-TD-INT,19-31-223-1-1,25-44-243-1-1
Sacked-Yards,0-0,1-12
Net Pass Yards,223,231
Total Yards,403,275
Fumbles-Lost,0-0,2-1
Turnovers,1,2
Penalties-Yards,7-60,5-56
Third Down Conv.,3-12,7-13
Fourth Down Conv.,2-2,0-2
Time of Possession,35:57,24:03
