Quarter,Time,Down,ToGo,Location,DET,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss and deferred, Jaguars to receive the opening kickoff.",,
1,15:00,,,DET 35,0,0,"Jack Fox kicks off 64 yards, returned by Keelan Cole for 16 yards (tackle by C.J. Moore)",0.000,-0.060
1,14:55,1,10,JAX 17,0,0,James Robinson right end for no gain (tackle by Christian Jones),-0.060,-0.580
1,14:19,2,10,JAX 17,0,0,James Robinson right end for -1 yards (tackle by Romeo Okwara and Jamie Collins),-0.580,-1.410
1,13:41,3,11,JAX 16,0,0,Gardner Minshew pass complete short right to Chris Thompson for 5 yards (tackle by Tracy Walker),-1.410,-1.960
1,12:55,4,6,JAX 21,0,0,Logan Cooke punts 29 yards out of bounds,-1.960,-2.260
1,12:46,1,10,DET 50,0,0,Adrian Peterson up the middle for 5 yards (tackle by C.J. Henderson),2.260,2.390
1,12:11,2,5,JAX 45,0,0,Matthew Stafford pass incomplete deep middle intended for Marvin Jones (defended by Sidney Jones),2.390,1.690
1,12:05,3,5,JAX 45,0,0,"Matthew Stafford sacked by. Penalty on K'Lavon Chaisson: Defensive Offside, 5 yards (no play)",1.690,2.920
1,11:41,1,10,JAX 40,0,0,Adrian Peterson right end for 3 yards (tackle by Myles Jack),2.920,2.780
1,10:59,2,7,JAX 37,0,0,Matthew Stafford pass incomplete short middle intended for Kenny Golladay,2.780,2.080
1,10:54,3,7,JAX 37,0,0,Matthew Stafford up the middle for 17 yards (tackle by Josh Jones),2.080,4.240
1,10:12,1,10,JAX 20,0,0,Adrian Peterson up the middle for 3 yards (tackle by Doug Costin),4.240,4.120
1,9:32,2,7,JAX 17,0,0,Adrian Peterson left end for 3 yards (tackle by Doug Costin and Sidney Jones),4.120,3.890
1,8:47,3,4,JAX 14,0,0,Matthew Stafford pass complete short right to Jesse James for 3 yards (tackle by Jarrod Wilson),3.890,2.850
1,8:24,4,1,JAX 11,0,0,Matthew Stafford up the middle for 2 yards (tackle by Myles Jack),2.850,5.140
1,7:47,1,9,JAX 9,0,0,"Matthew Stafford pass incomplete short middle intended for Kenny Golladay. Penalty on Josh Jones: Defensive Pass Interference, 8 yards (no play)",5.140,6.970
1,7:42,1,1,JAX 1,6,0,"Adrian Peterson right end for 1 yard, touchdown",6.970,7.000
1,7:37,,,JAX 15,7,0,Matt Prater kicks extra point good,0.000,0.000
1,7:37,,,DET 35,7,0,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
1,7:37,1,10,JAX 25,7,0,James Robinson up the middle for 2 yards (tackle by Trey Flowers and Jamie Collins),0.610,0.330
1,7:04,2,8,JAX 27,7,0,Gardner Minshew pass complete deep right to Keelan Cole for 35 yards (tackle by Jeff Okudah),0.330,3.050
1,6:26,1,10,DET 38,7,0,James Robinson left guard for 6 yards (tackle by Jamie Collins and Tracy Walker),3.050,3.320
1,5:51,2,4,DET 32,7,0,James Robinson left end for 1 yard (tackle by Trey Flowers),3.320,2.740
1,5:11,3,3,DET 31,7,0,Gardner Minshew pass complete short left to Laviska Shenault for 3 yards (tackle by Darryl Roberts and Trey Flowers),2.740,3.710
1,4:26,1,10,DET 28,7,0,Gardner Minshew pass complete short left to Keelan Cole for 9 yards (tackle by Darryl Roberts),3.710,4.420
1,4:04,2,1,DET 19,7,0,Laviska Shenault right end for 1 yard (tackle by Jeff Okudah),4.420,4.370
1,3:29,1,10,DET 18,7,0,James Robinson up the middle for 3 yards (tackle by Jamie Collins and Christian Jones),4.370,4.250
1,2:49,2,7,DET 15,7,0,Gardner Minshew pass incomplete short left intended for Keelan Cole,4.250,3.460
1,2:42,,,,,,Timeout #1 by Jacksonville Jaguars,,
1,2:42,3,7,DET 15,7,0,Gardner Minshew pass complete short right to Chris Thompson for 2 yards (tackle by Tracy Walker),3.460,2.620
1,1:54,4,5,DET 13,7,3,Jonathan Brown 31 yard field goal good,2.620,3.000
1,1:51,,,JAX 35,7,3,"Logan Cooke kicks off 65 yards, touchback.",0.000,0.610
1,1:51,1,10,DET 25,7,3,D'Andre Swift up the middle for 54 yards (tackle by Jarrod Wilson),0.610,4.170
1,1:06,1,10,JAX 21,7,3,D'Andre Swift up the middle for 1 yard (tackle by C.J. Henderson),4.170,3.760
1,0:28,2,9,JAX 20,7,3,Matthew Stafford pass complete short middle to T.J. Hockenson for 16 yards (tackle by Jarrod Wilson),3.760,6.280
Quarter,Time,Down,ToGo,Location,DET,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,4,JAX 4,7,3,D'Andre Swift up the middle for 3 yards (tackle by Josh Jones and DaVon Hamilton),6.280,5.910
2,14:25,2,1,JAX 1,7,3,D'Andre Swift right end for no gain (tackle by Kamalei Correa),5.910,5.170
2,13:45,3,1,JAX 1,13,3,"D'Andre Swift up the middle for 1 yard, touchdown",5.170,7.000
2,13:41,,,JAX 15,14,3,Matt Prater kicks extra point good,0.000,0.000
2,13:41,,,DET 35,14,3,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
2,13:41,1,10,JAX 25,14,3,Gardner Minshew pass deep left intended for DJ Chark is intercepted by Duron Harmon at DET-36 and returned for 1 yard,0.610,-1.400
2,13:31,1,10,DET 37,14,3,Kerryon Johnson right end for -2 yards (tackle by Adam Gotsis),1.400,0.590
2,12:53,2,12,DET 35,14,3,Matthew Stafford pass incomplete short right intended for Jesse James (defended by Adam Gotsis),0.590,-0.100
2,12:49,3,12,DET 35,14,3,"Matthew Stafford pass incomplete deep right intended for Kenny Golladay. Penalty on Josh Jones: Defensive Pass Interference, 25 yards (no play)",-0.100,2.920
2,12:42,1,10,JAX 40,14,3,Matthew Stafford pass incomplete deep left intended for T.J. Hockenson,2.920,2.370
2,12:36,2,10,JAX 40,14,3,"D'Andre Swift right end for 10 yards (tackle by Joe Schobert). Penalty on Tyrell Crosby: Offensive Holding, 10 yards (no play)",2.370,1.020
2,12:12,2,20,DET 50,14,3,Matthew Stafford pass incomplete deep middle intended for Marvin Hall (defended by Tre Herndon),1.020,0.370
2,12:05,3,20,DET 50,14,3,Matthew Stafford pass complete short right to Kerryon Johnson for 11 yards (tackle by Joe Schobert),0.370,0.660
2,11:18,4,9,JAX 39,14,3,Matt Prater 57 yard field goal no good,0.660,-1.990
2,11:12,1,10,JAX 46,14,3,James Robinson right end for 5 yards (tackle by Reggie Ragland),1.990,2.130
2,10:33,2,5,DET 49,14,3,"Gardner Minshew pass complete short right to Laviska Shenault for 3 yards (tackle by Reggie Ragland). Penalty on Jayron Kearse: Unnecessary Roughness, 15 yards",2.130,3.510
2,10:11,1,10,DET 31,14,3,Gardner Minshew pass complete short left to DJ Chark for 2 yards (tackle by Amani Oruwariye),3.510,3.240
2,9:31,2,8,DET 29,14,3,Gardner Minshew pass complete short left to DJ Chark for 10 yards (tackle by Amani Oruwariye),3.240,4.310
2,8:58,1,10,DET 19,14,3,James Robinson left end for 5 yards (tackle by Jamie Collins),4.310,4.530
2,8:17,2,5,DET 14,14,3,Gardner Minshew pass incomplete short left intended for Tyler Davis,4.530,3.760
2,8:12,3,5,DET 14,14,3,Gardner Minshew pass incomplete short right intended for DJ Chark,3.760,2.560
2,8:07,4,5,DET 14,14,3,Jonathan Brown 32 yard field goal no good,2.560,-0.410
2,8:02,1,10,DET 22,14,3,Adrian Peterson up the middle for -1 yards (tackle by Myles Jack),0.410,-0.270
2,7:41,2,11,DET 21,14,3,Matthew Stafford pass complete short left to Adrian Peterson for 18 yards (tackle by Josh Jones),-0.270,1.530
2,7:18,1,10,DET 39,14,3,Adrian Peterson up the middle for 3 yards (tackle by Doug Costin),1.530,1.390
2,6:33,2,7,DET 42,14,3,"Matthew Stafford pass complete deep middle to Marvin Jones for 20 yards (tackle by Josh Jones). Penalty on Joe Dahl: Illegal Use of Hands, 10 yards (no play)",1.390,0.040
2,6:02,2,17,DET 32,14,3,D'Andre Swift up the middle for 5 yards (tackle by Joe Schobert),0.040,0.040
2,5:18,3,12,DET 37,14,3,Matthew Stafford pass complete deep middle to Kenny Golladay for 36 yards (tackle by Sidney Jones),0.040,3.780
2,4:46,1,10,JAX 27,14,3,Matthew Stafford pass complete short right to D'Andre Swift for 1 yard (tackle by Jarrod Wilson),3.780,3.370
2,4:05,2,9,JAX 26,14,3,Kerryon Johnson up the middle for 9 yards (tackle by Joe Schobert and Myles Jack),3.370,4.440
2,3:30,1,10,JAX 17,14,3,Kerryon Johnson up the middle for 2 yards (tackle by Josh Jones),4.440,4.150
2,2:50,2,8,JAX 15,14,3,Matthew Stafford pass complete short right to Marvin Jones for 2 yards (tackle by Joe Schobert),4.150,3.680
2,2:00,3,6,JAX 13,14,3,Matthew Stafford pass incomplete short right intended for Kerryon Johnson,3.680,2.590
2,1:57,4,6,JAX 13,17,3,Matt Prater 31 yard field goal good,2.590,3.000
2,1:53,,,DET 35,17,3,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
2,1:53,1,10,JAX 25,17,3,Gardner Minshew pass incomplete short left intended for DJ Chark (defended by Tracy Walker),0.610,0.060
2,1:48,,,,,,Timeout #1 by Detroit Lions,,
2,1:48,2,10,JAX 25,17,3,Gardner Minshew pass complete short right to DJ Chark for 3 yards (tackle by Romeo Okwara),0.060,-0.230
2,1:20,3,7,JAX 28,17,3,Gardner Minshew pass complete short left to DJ Chark for 7 yards (tackle by Darryl Roberts),-0.230,1.270
2,0:57,1,10,JAX 35,17,3,Gardner Minshew pass complete short right to Laviska Shenault for 4 yards (tackle by Jeff Okudah),1.270,1.260
2,0:51,,,,,,Timeout #2 by Jacksonville Jaguars,,
2,0:51,2,6,JAX 39,17,3,Gardner Minshew pass incomplete short middle intended for Keelan Cole,1.260,0.560
2,0:46,3,6,JAX 39,17,3,Gardner Minshew pass complete short right to Keelan Cole for 16 yards (tackle by Tracy Walker),0.560,2.590
2,0:39,,,,,,Timeout #3 by Jacksonville Jaguars,,
2,0:39,1,10,DET 45,17,3,Gardner Minshew pass incomplete short middle intended for Laviska Shenault,2.590,2.040
2,0:35,2,10,DET 45,17,3,"Gardner Minshew sacked by Trey Flowers for -12 yards. Gardner Minshew fumbles (forced by Trey Flowers), recovered by Romeo Okwara at JAC-43",2.040,-2.720
2,0:27,1,10,JAX 43,17,3,Matthew Stafford pass complete short middle to D'Andre Swift for 3 yards (tackle by Joe Schobert),2.720,2.580
2,0:21,,,,,,Timeout #2 by Detroit Lions,,
2,0:21,2,7,JAX 40,17,3,"D'Andre Swift up the middle for 11 yards (tackle by Josh Jones). Penalty on Frank Ragnow: Offensive Holding, 10 yards (no play)",2.580,1.230
2,0:15,2,17,DET 50,17,3,Matthew Stafford pass incomplete short right intended for D'Andre Swift,1.230,0.560
2,0:12,3,17,DET 50,17,3,Matthew Stafford pass incomplete deep right intended for Marvin Jones,0.560,-0.060
2,0:08,4,17,DET 50,17,3,"Jack Fox punts 50 yards, touchback.",-0.060,-0.280
2,0:01,1,10,JAX 20,17,3,Gardner Minshew kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,DET,JAX,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 35,17,3,"Logan Cooke kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,DET 25,17,3,Adrian Peterson up the middle for -1 yards (tackle by Taven Bryan and Joe Schobert),0.610,-0.070
3,14:23,2,11,DET 24,17,3,D'Andre Swift left end for 1 yard (tackle by Dawuane Smoot),-0.070,-0.620
3,13:48,3,10,DET 25,17,3,Matthew Stafford pass short middle (defended by Jabaal Sheard) intended for Marvin Jones is intercepted by Joe Schobert at DET-22 and returned for 2 yards,-0.620,-4.240
3,13:42,1,10,DET 20,17,3,James Robinson right end for -2 yards (tackle by Nick Williams),4.240,3.420
3,13:05,2,12,DET 22,17,3,Gardner Minshew pass complete short left to DJ Chark for no gain (tackle by Jeff Okudah and Trey Flowers),3.420,2.740
3,12:23,3,12,DET 22,17,3,Gardner Minshew pass complete short right to Chris Thompson for 8 yards (tackle by Jeff Okudah),2.740,2.580
3,11:46,4,4,DET 14,17,3,Gardner Minshew pass incomplete short left intended for DJ Chark (defended by Amani Oruwariye),2.580,0.280
3,11:40,1,10,DET 14,17,3,Matthew Stafford pass complete short left to Marvin Jones for 6 yards (tackle by Sidney Jones),-0.280,0.150
3,10:59,2,4,DET 20,17,3,Adrian Peterson left end for 5 yards (tackle by DaVon Hamilton),0.150,0.610
3,10:21,1,10,DET 25,17,3,Adrian Peterson up the middle for 2 yards (tackle by Joe Schobert),0.610,0.330
3,9:43,2,8,DET 27,17,3,Matthew Stafford pass complete short right to Danny Amendola for 19 yards (tackle by C.J. Henderson),0.330,1.990
3,9:07,1,10,DET 46,17,3,Matthew Stafford pass complete deep left to Kenny Golladay for 48 yards (tackle by Josh Jones). Penalty on Kamalei Correa: Defensive Offside (Declined),1.990,5.830
3,8:36,1,6,JAX 6,17,3,Matthew Stafford pass complete short right to Kenny Golladay for 5 yards (tackle by Jarrod Wilson and C.J. Henderson),5.830,5.910
3,7:58,2,1,JAX 1,17,3,Matthew Stafford pass incomplete short right intended for T.J. Hockenson (defended by Kamalei Correa),5.910,5.170
3,7:54,3,1,JAX 1,17,3,Matthew Stafford pass incomplete short right intended for T.J. Hockenson,5.170,3.550
3,7:50,4,1,JAX 1,23,3,"Matthew Stafford pass complete short right to T.J. Hockenson for 1 yard, touchdown",3.550,7.000
3,7:44,,,JAX 15,23,3,"Matt Prater kicks extra point blocked by Keelan Cole. Penalty on Keelan Cole: Defensive Offside, 5 yards (no play)",0.000,0.000
3,7:44,,,JAX 10,24,3,Matt Prater kicks extra point good,0.000,0.000
3,7:44,,,DET 35,24,3,"Jack Fox kicks off 46 yards, returned by Bruce Miller for 7 yards (tackle by Miles Killebrew and Jarrad Davis)",0.000,0.670
3,7:39,1,10,JAX 26,24,3,Gardner Minshew pass incomplete deep middle intended for DJ Chark (defended by Amani Oruwariye),0.670,0.130
3,7:29,2,10,JAX 26,24,3,Gardner Minshew pass complete short right to James Robinson for 3 yards (tackle by Tracy Walker and Jarrad Davis),0.130,-0.160
3,6:44,3,7,JAX 29,24,3,Gardner Minshew pass complete deep right to Keelan Cole for 51 yards (tackle by Jeff Okudah),-0.160,4.240
3,5:52,1,10,DET 20,24,3,"Gardner Minshew pass complete short left to James Robinson for 2 yards (tackle by Jarrad Davis). James Robinson fumbles, ball out of bounds at DET-18 (forced by Jarrad Davis)",4.240,3.960
3,5:20,2,8,DET 18,24,3,James Robinson up the middle for no gain (tackle by Jayron Kearse and John Penisini),3.960,3.220
3,4:42,3,8,DET 18,24,3,"Gardner Minshew pass incomplete short middle intended for Keelan Cole (defended by Darryl Roberts). Penalty on Darryl Roberts: Defensive Pass Interference, 5 yards (no play)",3.220,4.710
3,4:38,1,10,DET 13,24,3,"James Robinson up the middle for 5 yards (tackle by Jarrad Davis). Penalty on Romeo Okwara: Defensive Offside, 5 yards (no play)",4.710,5.860
3,4:18,1,5,DET 8,24,3,Gardner Minshew pass incomplete short left intended for Chris Conley,5.860,4.960
3,4:13,2,5,DET 8,24,3,James Robinson up the middle for 2 yards (tackle by Jahlani Tavai),4.960,4.560
3,3:36,3,3,DET 6,24,9,"Gardner Minshew up the middle for 6 yards, touchdown",4.560,7.000
3,3:31,,,DET 15,24,10,Jonathan Brown kicks extra point good,0.000,0.000
3,3:31,,,JAX 35,24,10,"Logan Cooke kicks off 65 yards, touchback.",0.000,0.610
3,3:31,1,10,DET 25,24,10,Matthew Stafford pass complete short right to Marvin Hall for 6 yards (tackle by C.J. Henderson),0.610,0.870
3,2:55,2,4,DET 31,24,10,D'Andre Swift up the middle for 9 yards (tackle by Josh Jones),0.870,1.600
3,2:17,1,10,DET 40,24,10,D'Andre Swift right end for 5 yards (tackle by Joe Schobert),1.600,1.730
3,1:38,2,5,DET 45,24,10,Matthew Stafford pass complete short middle to Kenny Golladay for 16 yards (tackle by Brandon Watson),1.730,2.980
3,1:00,1,10,JAX 39,24,10,Matthew Stafford pass complete short left to Jamal Agnew for 11 yards (tackle by Brandon Watson),2.980,3.710
3,0:23,1,10,JAX 28,24,10,D'Andre Swift up the middle for 2 yards (tackle by Doug Costin and Dawuane Smoot),3.710,3.440
Quarter,Time,Down,ToGo,Location,DET,JAX,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,JAX 26,24,10,Marvin Hall right end for 1 yard (tackle by Brandon Watson),3.440,2.870
4,14:18,3,7,JAX 25,24,10,"Matthew Stafford pass incomplete short right intended for Kenny Golladay. Penalty on Jabaal Sheard: Roughing the Passer, 13 yards (no play)",2.870,4.780
4,14:13,1,10,JAX 12,24,10,Matthew Stafford pass complete short middle to Jamal Agnew for 6 yards (tackle by Brandon Watson),4.780,5.210
4,13:38,2,4,JAX 6,30,10,"D'Andre Swift up the middle for 6 yards, touchdown",5.210,7.000
4,13:32,,,JAX 15,31,10,Matt Prater kicks extra point good,0.000,0.000
4,13:32,,,DET 35,31,10,"Jack Fox kicks off 68 yards, returned by Chris Claybrooks for 20 yards (tackle by Miles Killebrew and Jalen Reeves-Maybin)",0.000,-0.060
4,13:27,1,10,JAX 17,31,10,Gardner Minshew pass incomplete short right intended for Laviska Shenault,-0.060,-0.580
4,13:24,2,10,JAX 17,31,10,Gardner Minshew pass complete short middle to Gardner Minshew for no gain (tackle by Tracy Walker),-0.580,-1.250
4,12:45,3,10,JAX 17,31,10,Gardner Minshew pass incomplete deep right intended for Keelan Cole (defended by Darryl Roberts),-1.250,-2.320
4,12:34,4,10,JAX 17,31,10,"Logan Cooke punts 47 yards, fair catch by Jamal Agnew at DET-36",-2.320,-1.330
4,12:25,1,10,DET 36,31,10,D'Andre Swift left end for 19 yards (tackle by Sidney Jones),1.330,2.590
4,11:42,1,10,JAX 45,31,10,D'Andre Swift up the middle for 5 yards (tackle by Sidney Jones),2.590,2.720
4,11:04,2,5,JAX 40,31,10,D'Andre Swift up the middle for 5 yards (tackle by C.J. Henderson and Josh Jones),2.720,3.250
4,10:23,1,10,JAX 35,31,10,Matthew Stafford pass complete short left to Danny Amendola for 12 yards (tackle by Quincy Williams),3.250,4.040
4,9:45,1,10,JAX 23,31,10,Kerryon Johnson up the middle for no gain (tackle by Quincy Williams),4.040,3.500
4,9:06,2,10,JAX 23,31,10,Adrian Peterson left end for no gain (tackle by Brandon Watson and Joe Schobert),3.500,2.810
4,8:21,,,,,,Timeout #1 by Detroit Lions,,
4,8:21,3,10,JAX 23,31,10,Matthew Stafford pass incomplete deep left intended for Kenny Golladay,2.810,1.930
4,8:16,4,10,JAX 23,34,10,Matt Prater 41 yard field goal good,1.930,3.000
4,8:11,,,DET 35,34,10,"Jack Fox kicks off 61 yards, returned by Chris Claybrooks for 16 yards (tackle by Jason Cabinda and Jarrad Davis)",0.000,0.280
4,8:03,1,10,JAX 20,34,10,Gardner Minshew pass complete short right to DJ Chark for 9 yards (tackle by Darryl Roberts),0.280,0.950
4,7:42,2,1,JAX 29,34,10,Gardner Minshew pass complete short middle to James Robinson for 5 yards (tackle by Jamie Collins),0.950,1.200
4,7:19,1,10,JAX 34,34,10,Gardner Minshew pass complete deep middle to Keelan Cole for 24 yards (tackle by Jeff Okudah),1.200,2.790
4,6:50,1,10,DET 42,34,10,Gardner Minshew pass complete short middle to Keelan Cole for 8 yards (tackle by Jamie Collins),2.790,3.320
4,6:24,2,2,DET 34,34,10,Gardner Minshew pass incomplete short middle intended for Laviska Shenault,3.320,2.610
4,6:20,3,2,DET 34,34,10,Gardner Minshew pass complete short right to Chris Conley for 6 yards (tackle by Darryl Roberts),2.610,3.710
4,5:58,1,10,DET 28,34,10,Gardner Minshew pass complete short right to DJ Chark for 14 yards (tackle by Jeff Okudah),3.710,4.650
4,5:29,1,10,DET 14,34,10,Gardner Minshew pass incomplete short right intended for DJ Chark,4.650,4.000
4,5:24,2,10,DET 14,34,16,"Gardner Minshew pass complete short left to James Robinson for 14 yards, touchdown",4.000,7.000
4,5:18,,,DET 2,34,16,"Two Point Attempt: Gardner Minshew pass incomplete intended for James Robinson, conversion fails",1.000,-1.000
4,5:18,,,JAX 35,34,16,"Jonathan Brown kicks onside 9 yards, returned by Kenny Golladay for no gain",0.000,2.650
4,5:18,1,10,JAX 44,34,16,Adrian Peterson up the middle for 3 yards (tackle by Josh Jones),2.650,2.520
4,5:13,,,,,,Timeout #1 by Jacksonville Jaguars,,
4,5:13,2,7,JAX 41,34,16,Adrian Peterson up the middle for 3 yards (tackle by Joe Schobert),2.520,2.210
4,5:09,,,,,,Timeout #2 by Jacksonville Jaguars,,
4,5:09,3,4,JAX 38,34,16,Matthew Stafford pass complete short left to D'Andre Swift for 3 yards (tackle by Josh Jones),2.210,1.000
4,4:39,4,1,JAX 35,34,16,"Penalty on Taylor Decker: False Start, 5 yards (no play)",1.000,0.590
4,4:39,4,6,JAX 40,34,16,"Jack Fox punts 40 yards, touchback.",0.590,-0.280
4,4:32,1,10,JAX 20,34,16,James Robinson up the middle for 8 yards (tackle by Jamie Collins),0.280,0.810
4,4:10,2,2,JAX 28,34,16,Gardner Minshew pass incomplete short left intended for Laviska Shenault,0.810,0.100
4,4:06,3,2,JAX 28,34,16,Gardner Minshew left end for 9 yards (tackle by Darryl Roberts),0.100,1.400
4,3:57,1,10,JAX 37,34,16,Gardner Minshew pass incomplete short right intended for James O'Shaughnessy (defended by Jamie Collins),1.400,0.860
4,3:52,2,10,JAX 37,34,16,Gardner Minshew pass incomplete deep left intended for DJ Chark,0.860,0.170
4,3:45,3,10,JAX 37,34,16,Gardner Minshew pass incomplete short middle intended for Tyler Davis,0.170,-0.910
4,3:40,4,10,JAX 37,34,16,Gardner Minshew pass incomplete short left intended for Chris Thompson,-0.910,-3.120
4,3:31,1,10,JAX 37,34,16,Adrian Peterson left end for 3 yards (tackle by Josh Jones),3.120,2.980
4,2:44,2,7,JAX 34,34,16,Adrian Peterson left end for 8 yards (tackle by Adam Gotsis),2.980,3.840
4,2:00,1,10,JAX 26,34,16,Matthew Stafford kneels for -1 yards,3.840,3.160
4,1:16,2,11,JAX 27,34,16,Matthew Stafford kneels for -2 yards,3.160,2.210
