Unnamed: 0_level_0,Unnamed: 1_level_0,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng
Chris Claybrooks,JAX,2,36,18.0,0,20,0,0,,0,0
Keelan Cole,JAX,1,16,16.0,0,16,0,0,,0,0
Bruce Miller,JAX,1,7,7.0,0,7,0,0,,0,0
