Quarter,Time,Tm,Detail,DET,JAX
1.0,7:37,Lions,Adrian Peterson 1 yard rush (Matt Prater kick),7,0
,1:51,Jaguars,Jonathan Brown 31 yard field goal,7,3
2.0,13:41,Lions,D'Andre Swift 1 yard rush (Matt Prater kick),14,3
,1:53,Lions,Matt Prater 31 yard field goal,17,3
3.0,7:44,Lions,T.J. Hockenson 1 yard pass from Matthew Stafford (Matt Prater kick),24,3
,3:31,Jaguars,Gardner Minshew II 6 yard rush (Jonathan Brown kick),24,10
4.0,13:32,Lions,D'Andre Swift 6 yard rush (Matt Prater kick),31,10
,8:11,Lions,Matt Prater 41 yard field goal,34,10
,5:18,Jaguars,James Robinson 14 yard pass from Gardner Minshew II (pass failed),34,16
