Quarter,Time,Down,ToGo,Location,PHI,LAC,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,LAC 25,0,0,Philip Rivers pass incomplete short right intended for Keenan Allen,0.610,0.060
1,14:57,2,10,LAC 25,0,0,Philip Rivers pass complete short right to Travis Benjamin for 19 yards (tackle by Nigel Bradham),0.060,1.860
1,14:23,1,10,LAC 44,0,0,Melvin Gordon right end for 1 yard (tackle by Nigel Bradham and Timmy Jernigan),1.860,1.450
1,13:44,2,9,LAC 45,0,0,"Philip Rivers pass incomplete short right intended for Melvin Gordon. Penalty on Vinny Curry: Defensive Offside, 5 yards (no play)",1.450,2.130
1,13:39,2,4,,0,0,Melvin Gordon middle for 11 yards (tackle by Jordan Hicks),2.130,2.980
1,12:59,1,10,PHI 39,0,0,Philip Rivers pass incomplete short left intended for Melvin Gordon,2.980,2.440
1,12:54,2,10,PHI 39,0,0,"Philip Rivers sacked by Chris Long for -2 yards. Philip Rivers fumbles (forced by Chris Long), recovered by Derek Barnett at PHI-32 (tackle by Tyrell Williams)",2.440,-1.070
1,12:44,1,10,PHI 32,0,0,Wendell Smallwood right end for 11 yards (tackle by Trevor Williams),1.070,1.800
1,12:09,1,10,PHI 43,0,0,LeGarrette Blount middle for 2 yards (tackle by Corey Liuget and Brandon Mebane),1.800,1.520
1,11:28,2,8,PHI 45,0,0,Carson Wentz pass complete short left to Wendell Smallwood for 4 yards (tackle by Casey Hayward),1.520,1.350
1,10:43,3,4,PHI 49,0,0,"Carson Wentz pass complete short right to Trey Burton for no gain. Penalty on Melvin Ingram: Defensive Offside, 5 yards (no play)",1.350,2.520
1,10:20,1,10,LAC 46,0,0,Corey Clement left end for 2 yards (tackle by Jahleel Addae),2.520,2.250
1,9:55,2,8,LAC 44,0,0,Corey Clement middle for 5 yards (tackle by Tenny Palepoi),2.250,2.210
1,9:10,3,3,LAC 39,0,0,Carson Wentz pass complete deep right to Nelson Agholor for 36 yards (tackle by Desmond King),2.210,6.510
1,8:44,1,3,LAC 3,0,0,Corey Clement left end for -5 yards (tackle by Jatavis Brown and Joey Bosa),6.510,4.570
1,8:05,2,8,LAC 8,6,0,"Carson Wentz pass complete short middle to Alshon Jeffery for 8 yards, touchdown",4.570,7.000
1,8:00,,,LAC 15,7,0,Jake Elliott kicks extra point good,0.000,0.000
1,8:00,,,PHI 35,7,0,"Jake Elliott kicks off 65 yards, touchback",0.000,-0.610
1,8:00,1,10,LAC 25,7,0,Melvin Gordon middle for -2 yards (tackle by Timmy Jernigan and Malcolm Jenkins),0.610,-0.210
1,7:23,2,12,LAC 23,7,0,Melvin Gordon right end for 12 yards (tackle by Brandon Graham),-0.210,1.270
1,6:47,1,10,LAC 35,7,0,Melvin Gordon left guard for no gain (tackle by Mychal Kendricks and Vinny Curry),1.270,0.720
1,6:03,2,10,LAC 35,7,0,Philip Rivers pass incomplete deep middle intended for Travis Benjamin (defended by Patrick Robinson). Penalty on Russell Okung: Offensive Holding (Declined),0.720,0.040
1,5:56,3,10,LAC 35,7,0,Philip Rivers pass incomplete deep left intended for Travis Benjamin,0.040,-1.040
1,5:49,4,10,LAC 35,7,0,"Drew Kaser punts 50 yards, returned by Kenjon Barner for 5 yards (tackle by Michael Davis). Penalty on Najee Goode: Offensive Holding, 8 yards",-1.040,0.380
1,5:40,1,10,PHI 8,7,0,"LeGarrette Blount left tackle for 3 yards (tackle by Brandon Mebane). Penalty on Darius Philon: Illegal Use of Hands, 5 yards",-0.380,-0.140
1,5:03,1,10,PHI 16,7,0,Wendell Smallwood right end for 7 yards (tackle by Trevor Williams and Hayes Pullard),-0.140,0.420
1,4:35,2,3,PHI 23,7,0,Carson Wentz pass incomplete,0.420,-0.450
1,4:26,3,3,PHI 23,7,0,Corey Clement middle for 10 yards (tackle by Jahleel Addae),-0.450,1.140
1,3:47,1,10,PHI 33,7,0,Carson Wentz pass complete short right to Wendell Smallwood for 24 yards (tackle by Tre Boston),1.140,2.720
1,3:01,1,10,LAC 43,7,0,Carson Wentz sacked by Darius Philon for -2 yards,2.720,1.910
1,2:18,2,12,LAC 45,7,0,Carson Wentz pass complete short left to LeGarrette Blount for 20 yards (tackle by Jahleel Addae and Tre Boston),1.910,3.910
1,1:34,1,10,LAC 25,7,0,"Carson Wentz for no gain. Carson Wentz fumbles, recovered by Carson Wentz at LAC-28",3.910,2.960
1,0:51,2,13,LAC 28,7,0,Carson Wentz pass incomplete short left intended for Alshon Jeffery (defended by Casey Hayward),2.960,2.280
1,0:46,3,13,LAC 28,7,0,Corey Clement middle for 1 yard (tackle by Joey Bosa),2.280,1.670
1,0:10,4,12,LAC 27,10,0,Jake Elliott 45 yard field goal good,1.670,3.000
1,0:05,,,PHI 35,10,0,"Jake Elliott kicks off 65 yards, touchback",0.000,-0.610
1,0:05,1,10,LAC 25,10,0,Philip Rivers pass incomplete short left intended for Keenan Allen,0.610,0.060
Quarter,Time,Down,ToGo,Location,PHI,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,LAC 25,10,0,"Penalty on Joe Barksdale: False Start, 5 yards (no play)",0.060,-0.610
2,15:00,2,15,LAC 20,10,0,Philip Rivers pass complete short left to Melvin Gordon for 7 yards (tackle by Malcolm Jenkins),-0.610,-0.360
2,14:22,3,8,LAC 27,10,0,Philip Rivers pass complete short left to Keenan Allen for 21 yards (tackle by Derek Barnett),-0.360,2.130
2,13:58,1,10,LAC 48,10,0,Melvin Gordon middle for -2 yards (tackle by Derek Barnett),2.130,1.310
2,13:20,2,12,LAC 46,10,0,Branden Oliver middle for -5 yards (tackle by Beau Allen),1.310,-0.030
2,12:39,3,17,LAC 41,10,0,Philip Rivers pass complete short right to Austin Ekeler for 11 yards (tackle by Jalen Mills and Jordan Hicks),-0.030,0.070
2,12:07,4,6,PHI 48,10,0,"Drew Kaser punts 48 yards, touchback",0.070,-0.280
2,11:57,1,10,PHI 20,10,0,Carson Wentz pass incomplete deep right intended for Torrey Smith,0.280,-0.270
2,11:53,2,10,PHI 20,10,0,LeGarrette Blount left end for 8 yards (tackle by Melvin Ingram and Tre Boston),-0.270,0.100
2,11:19,3,2,PHI 28,10,0,Carson Wentz pass complete short middle to Wendell Smallwood for 5 yards (tackle by Hayes Pullard),0.100,1.140
2,10:45,1,10,PHI 33,10,0,LeGarrette Blount middle for 10 yards (tackle by Hayes Pullard and Tre Boston),1.140,1.800
2,10:03,1,10,PHI 43,10,0,Carson Wentz pass complete short middle to Zach Ertz for 12 yards (tackle by Jahleel Addae),1.800,2.590
2,9:27,1,10,LAC 45,10,0,Carson Wentz pass complete short middle to Nelson Agholor for 14 yards (tackle by Hayes Pullard and Nigel Harris),2.590,3.510
2,8:45,1,10,LAC 31,10,0,Carson Wentz for 12 yards,3.510,4.310
2,8:02,1,10,LAC 19,10,0,"Penalty on Jason Kelce: False Start, 5 yards (no play)",4.310,3.970
2,7:38,1,15,LAC 24,10,0,Wendell Smallwood right tackle for 2 yards (tackle by Nigel Harris),3.970,3.360
2,6:57,2,13,LAC 22,10,0,Carson Wentz pass incomplete short right intended for Brent Celek,3.360,2.680
2,6:53,3,13,LAC 22,10,0,Carson Wentz pass incomplete deep middle intended for Torrey Smith (defended by Trevor Williams),2.680,1.990
2,6:47,4,13,LAC 22,13,0,Jake Elliott 40 yard field goal good,1.990,3.000
2,6:42,,,PHI 35,13,0,"Jake Elliott kicks off 65 yards, touchback",0.000,-0.610
2,6:42,1,10,LAC 25,13,6,"Philip Rivers pass complete deep middle to Tyrell Williams for 75 yards, touchdown",0.610,7.000
2,6:32,,,PHI 15,13,7,"Penalty on Drew Kaser: Delay of Game, 5 yards (no play)",0.000,0.000
2,6:32,,,PHI 20,13,7,Younghoe Koo kicks extra point good,0.000,0.000
2,6:32,,,LAC 35,13,7,"Younghoe Koo kicks off 65 yards, touchback",0.000,-0.610
2,6:32,1,10,PHI 25,13,7,LeGarrette Blount middle for 7 yards (tackle by Trevor Williams and Tre Boston),0.610,1.010
