Quarter,Time,Tm,Detail,PHI,LAC
1.0,8:00,Eagles,Alshon Jeffery 8 yard pass from Carson Wentz (Jake Elliott kick),7,0
,0:05,Eagles,Jake Elliott 45 yard field goal,10,0
2.0,6:42,Eagles,Jake Elliott 40 yard field goal,13,0
,6:32,Chargers,Tyrell Williams 75 yard pass from Philip Rivers (Younghoe Koo kick),13,7
,4:08,Eagles,Jake Elliott 53 yard field goal,16,7
,0:00,Chargers,Younghoe Koo 28 yard field goal,16,10
3.0,0:55,Eagles,Jake Elliott 47 yard field goal,19,10
4.0,13:42,Chargers,Austin Ekeler 35 yard rush (Younghoe Koo kick),19,17
,9:14,Eagles,Wendell Smallwood 3 yard rush (Jake Elliott kick),26,17
,6:44,Chargers,Hunter Henry 4 yard pass from Philip Rivers (Younghoe Koo kick),26,24
