Unnamed: 0,PHI,LAC
First Downs,26,18
Rush-Yds-TDs,42-214-1,13-58-1
Cmp-Att-Yd-TD-INT,17-31-242-1-0,22-38-347-2-0
Sacked-Yards,1-2,2-5
Net Pass Yards,240,342
Total Yards,454,400
Fumbles-Lost,1-0,2-1
Turnovers,0,1
Penalties-Yards,9-58,9-39
Third Down Conv.,9-16,5-10
Fourth Down Conv.,1-1,0-0
Time of Possession,39:18,20:42
