Quarter,Time,Tm,Detail,BAL,OAK
1.0,3:47,Ravens,Willis McGahee 2 yard rush (Billy Cundiff kick),7,0
2.0,14:49,Raiders,Sebastian Janikowski 37 yard field goal,7,3
,3:54,Ravens,Willis McGahee 77 yard rush (Billy Cundiff kick),14,3
,0:47,Raiders,Zach Miller 12 yard pass from Charlie Frye (Sebastian Janikowski kick),14,10
3.0,4:06,Raiders,Sebastian Janikowski 39 yard field goal,14,13
4.0,13:16,Ravens,Willis McGahee 2 yard rush (Billy Cundiff kick),21,13
