Unnamed: 0,BAL,OAK
First Downs,16,20
Rush-Yds-TDs,35-240-3,20-51-0
Cmp-Att-Yd-TD-INT,11-19-102-0-0,27-39-282-1-1
Sacked-Yards,4-12,3-8
Net Pass Yards,90,274
Total Yards,330,325
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,5-37,5-30
Third Down Conv.,6-14,6-13
Fourth Down Conv.,0-0,0-0
Time of Possession,27:46,32:14
