Quarter,Time,Tm,Detail,DEN,BAL
1.0,5:31,Broncos,Jason Elam 28 yard field goal,3,0
2.0,10:40,Ravens,Matt Stover 25 yard field goal,3,3
,7:41,Ravens,Matt Stover 39 yard field goal,3,6
,0:00,Ravens,Matt Stover 22 yard field goal,3,9
3.0,7:10,Broncos,Jason Elam 22 yard field goal,6,9
4.0,7:35,Ravens,Terry Jones 5 yard pass from Kyle Boller (Matt Stover kick),6,16
,3:00,Ravens,Matt Stover 29 yard field goal,6,19
,1:56,Ravens,Jamal Lewis 28 yard rush (Matt Stover kick),6,26
