Unnamed: 0,DEN,BAL
First Downs,12,16
Rush-Yds-TDs,27-104-0,37-151-1
Cmp-Att-Yd-TD-INT,16-31-114-0-2,15-27-137-1-0
Sacked-Yards,2-24,2-11
Net Pass Yards,90,126
Total Yards,194,277
Fumbles-Lost,2-0,1-0
Turnovers,2,0
Penalties-Yards,7-49,9-62
Third Down Conv.,4-15,6-17
Fourth Down Conv.,0-2,0-0
Time of Possession,28:30,31:30
