Unnamed: 0,CAR,TEN
First Downs,15,20
Rush-Yds-TDs,22-78-0,43-140-2
Cmp-Att-Yd-TD-INT,17-32-143-1-2,14-23-110-0-2
Sacked-Yards,7-30,3-14
Net Pass Yards,113,96
Total Yards,191,236
Fumbles-Lost,1-0,4-2
Turnovers,2,4
Penalties-Yards,10-92,10-89
Third Down Conv.,4-16,6-14
Fourth Down Conv.,0-0,0-0
Time of Possession,26:58,33:02
