Unnamed: 0,CAR,SEA
First Downs,18,25
Rush-Yds-TDs,30-131-2,31-161-3
Cmp-Att-Yd-TD-INT,18-34-169-0-1,17-30-229-0-2
Sacked-Yards,3-17,3-19
Net Pass Yards,152,210
Total Yards,283,371
Fumbles-Lost,1-0,0-0
Turnovers,1,2
Penalties-Yards,8-53,4-20
Third Down Conv.,5-15,5-10
Fourth Down Conv.,1-2,0-0
Time of Possession,30:30,29:30
