Quarter,Time,Tm,Detail,CAR,SEA
1.0,10:51,Panthers,Mike Goodson 6 yard rush (John Kasay kick),7,0
2.0,8:05,Panthers,Jonathan Stewart 3 yard rush (John Kasay kick),14,0
,0:38,Seahawks,Olindo Mare 24 yard field goal,14,3
3.0,10:46,Seahawks,Marshawn Lynch 1 yard rush (Olindo Mare kick),14,10
,9:18,Seahawks,Lofa Tatupu 26 yard interception return (Olindo Mare kick),14,17
,6:09,Seahawks,Marshawn Lynch 1 yard rush (Olindo Mare kick),14,24
4.0,4:24,Seahawks,Marshawn Lynch 22 yard rush (Olindo Mare kick),14,31
