Unnamed: 0,ARI,GNB
First Downs,20,28
Rush-Yds-TDs,25-86-1,39-203-3
Cmp-Att-Yd-TD-INT,14-35-157-1-1,17-25-180-1-0
Sacked-Yards,4-25,0-0
Net Pass Yards,132,180
Total Yards,218,383
Fumbles-Lost,1-0,0-0
Turnovers,1,0
Penalties-Yards,9-68,10-65
Third Down Conv.,6-14,2-7
Fourth Down Conv.,1-2,1-2
Time of Possession,26:21,33:39
