Quarter,Time,Tm,Detail,ARI,GNB
1.0,5:05,Packers,David Martin 1 yard pass from Brett Favre (Dave Rayner kick),0,7
2.0,14:22,Packers,Ahman Green 4 yard rush (Dave Rayner kick),0,14
,6:24,Packers,Ahman Green 2 yard rush (Dave Rayner kick),0,21
,0:29,Cardinals,Edgerrin James 1 yard rush (Neil Rackers kick),7,21
3.0,7:41,Packers,Brett Favre 1 yard rush (Dave Rayner kick),7,28
,1:33,Cardinals,Troy Walters 17 yard pass from Matt Leinart (Neil Rackers kick),14,28
4.0,6:56,Packers,Dave Rayner 42 yard field goal,14,31
