Quarter,Time,Tm,Detail,NOR,KAN
1.0,6:07,Saints,Brandin Cooks 9 yard pass from Drew Brees (Wil Lutz kick),7,0
,4:07,Chiefs,Spencer Ware 46 yard pass from Alex Smith (Cairo Santos kick),7,7
,0:46,Chiefs,Daniel Sorensen 48 yard interception return (Cairo Santos kick),7,14
2.0,7:02,Chiefs,Tyreek Hill 38 yard pass from Alex Smith (Cairo Santos kick),7,21
3.0,6:57,Saints,Mark Ingram 3 yard pass from Drew Brees (Wil Lutz kick),14,21
,3:21,Chiefs,Cairo Santos 39 yard field goal,14,24
4.0,2:33,Saints,Brandon Coleman 10 yard pass from Drew Brees (Wil Lutz kick),21,24
,0:28,Chiefs,Cairo Santos 41 yard field goal,21,27
