Unnamed: 0,NOR,KAN
First Downs,27,20
Rush-Yds-TDs,22-104-0,28-112-0
Cmp-Att-Yd-TD-INT,37-48-367-3-1,17-24-214-2-0
Sacked-Yards,1-8,0-0
Net Pass Yards,359,214
Total Yards,463,326
Fumbles-Lost,3-1,0-0
Turnovers,2,0
Penalties-Yards,10-75,4-30
Third Down Conv.,9-14,3-9
Fourth Down Conv.,0-0,0-0
Time of Possession,32:38,27:22
