Unnamed: 0,MIA,BUF
First Downs,23,13
Rush-Yds-TDs,21-80-0,33-113-0
Cmp-Att-Yd-TD-INT,31-49-241-1-1,16-26-202-1-0
Sacked-Yards,4-31,0-0
Net Pass Yards,210,202
Total Yards,290,315
Fumbles-Lost,1-1,0-0
Turnovers,2,0
Penalties-Yards,3-20,6-40
Third Down Conv.,5-16,5-15
Fourth Down Conv.,1-4,0-0
Time of Possession,31:17,28:43
