Quarter,Time,Down,ToGo,Location,PIT,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,PIT 30,0,0,"Jeff Reed kicks off 61 yards, returned by Jacques Reeves for 16 yards (tackle by Verron Haynes)",0.000,0.610
1,14:55,1,10,DAL 25,0,0,Vinny Testaverde pass complete to Keyshawn Johnson for 6 yards (tackle by Chad Scott),0.610,0.870
1,14:18,2,4,DAL 31,0,0,Keyshawn Johnson right end for 13 yards (tackle by Chris Hope),0.870,1.860
1,13:51,1,10,DAL 44,0,0,Eddie George left tackle for 2 yards (tackle by Joey Porter),1.860,1.590
1,13:12,2,8,DAL 46,0,0,Vinny Testaverde pass complete to Keyshawn Johnson for 4 yards (tackle by Troy Polamalu),1.590,1.420
1,12:46,3,4,PIT 50,0,0,Richie Anderson left end for 8 yards (tackle by Chris Hope),1.420,2.790
1,12:03,1,10,PIT 42,0,0,Vinny Testaverde pass incomplete intended for Terry Glenn,2.790,2.240
1,11:57,2,10,PIT 42,0,0,Vinny Testaverde pass complete to Keyshawn Johnson for 1 yard (tackle by Deshea Townsend),2.240,1.680
1,11:16,3,9,PIT 41,0,0,Vinny Testaverde pass complete to Keyshawn Johnson for 16 yards (tackle by Russell Stuvaints),1.680,3.910
1,10:31,1,10,PIT 25,0,0,Eddie George up the middle for no gain (tackle by Brett Keisel),3.910,3.360
1,9:53,2,10,PIT 25,0,0,Vinny Testaverde pass complete to Eddie George for 4 yards (tackle by James Farrior),3.360,3.200
1,9:15,3,6,PIT 21,0,6,"Richie Anderson right tackle for 21 yards, touchdown",3.200,7.000
1,,,,PIT 2,0,7,Billy Cundiff kicks extra point good,0.000,0.000
1,,,,DAL 30,0,7,"Billy Cundiff kicks off 58 yards, returned by Antwaan Randle El for 13 yards (tackle by Darian Barnes)",0.000,0.610
1,9:09,1,10,PIT 25,0,7,Ben Roethlisberger pass complete to Jay Riemersma for 10 yards (tackle by Tyrone Williams),0.610,1.270
1,8:44,1,10,PIT 35,0,7,Duce Staley right tackle for 5 yards (tackle by Dexter Coakley),1.270,1.400
1,8:08,2,5,PIT 40,0,7,Duce Staley up the middle for no gain (tackle by Dat Nguyen),1.400,0.700
1,7:29,3,5,PIT 40,0,7,"Ben Roethlisberger pass complete to Plaxico Burress for 32 yards (tackle by Terence Newman). Penalty on Terence Newman: Face Mask (5 Yards), 5 yards",0.700,4.040
1,6:57,1,10,DAL 23,0,7,Ben Roethlisberger pass complete to Hines Ward for 15 yards (tackle by Terence Newman),4.040,5.370
1,6:13,1,8,DAL 8,0,7,Duce Staley right guard for 3 yards (tackle by La'Roi Glover and Greg Ellis),5.370,5.150
1,5:32,2,5,DAL 5,6,7,"Ben Roethlisberger pass complete to Plaxico Burress for 5 yards, touchdown",5.150,7.000
1,,,,DAL 2,7,7,Jeff Reed kicks extra point good,0.000,0.000
1,,,,PIT 30,7,7,"Jeff Reed kicks off 66 yards, returned by ReShard Lee for 19 yards (tackle by Russell Stuvaints)",0.000,0.480
1,5:17,1,10,DAL 23,7,7,Vinny Testaverde pass complete to Jason Witten for 9 yards (tackle by James Farrior),0.480,1.150
1,4:36,2,1,DAL 32,7,7,Eddie George right guard for 7 yards (tackle by Troy Polamalu),1.150,1.530
1,3:58,1,10,DAL 39,7,7,Eddie George left tackle for 8 yards (tackle by Troy Polamalu),1.530,2.070
1,3:18,2,2,DAL 47,7,7,Eddie George up the middle for -2 yards (tackle by Troy Polamalu),2.070,1.090
1,2:35,3,4,DAL 45,7,7,"Vinny Testaverde pass complete to Jason Witten for 2 yards (tackle by James Farrior). Jason Witten fumbles (forced by James Farrior), ball out of bounds at DAL-47",1.090,-0.260
1,2:26,4,2,DAL 47,7,7,"Mat McBriar punts 40 yards, fair catch by Antwaan Randle El",-0.260,0.320
1,2:21,1,10,PIT 13,7,7,Duce Staley left tackle for 4 yards (tackle by Alshermond Singleton),-0.320,-0.300
1,1:39,2,6,PIT 17,7,7,Ben Roethlisberger pass complete to Hines Ward for 6 yards (tackle by Terence Newman),-0.300,0.480
1,1:16,1,10,PIT 23,7,7,Antwaan Randle El left end for 6 yards (tackle by Randal Williams),0.480,0.740
1,0:35,2,4,PIT 29,7,7,Ben Roethlisberger pass complete to Duce Staley for 6 yards (tackle by Alshermond Singleton),0.740,1.270
Quarter,Time,Down,ToGo,Location,PIT,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PIT 35,7,7,Duce Staley left tackle for 1 yard (tackle by Dexter Coakley),1.270,0.860
2,14:21,2,9,PIT 36,7,7,Ben Roethlisberger pass complete to Hines Ward for 12 yards (tackle by Terence Newman),0.860,2.130
2,13:40,1,10,PIT 48,7,7,Ben Roethlisberger sacked by La'Roi Glover for -11 yards,2.130,0.100
2,13:04,2,21,PIT 37,7,7,Dan Kreider up the middle for 5 yards (tackle by Alshermond Singleton),0.100,0.100
2,12:21,3,16,PIT 42,7,7,Ben Roethlisberger pass incomplete intended for Hines Ward,0.100,-0.590
2,12:15,4,16,PIT 42,7,7,"Chris Gardocki punts 51 yards, returned by Dedric Ward for 6 yards (tackle by Russell Stuvaints)",-0.590,0.320
2,12:05,1,10,DAL 13,7,7,Vinny Testaverde pass complete to Terry Glenn for 12 yards,-0.320,0.610
2,11:34,1,10,DAL 25,7,7,Vinny Testaverde pass incomplete intended for Keyshawn Johnson,0.610,0.060
2,11:29,2,10,DAL 25,7,7,Vinny Testaverde pass complete to Terry Glenn for 11 yards,0.060,1.330
2,11:00,1,10,DAL 36,7,7,Vinny Testaverde sacked by Aaron Smith for -6 yards,1.330,-0.020
2,10:10,2,16,DAL 30,7,7,Vinny Testaverde pass complete to Richie Anderson for no gain,-0.020,-0.690
2,9:34,3,16,DAL 30,7,7,"Vinny Testaverde sacked by James Farrior for -8 yards. Vinny Testaverde fumbles (forced by James Farrior), recovered by Vinny Testaverde at DAL-22",-0.690,-1.900
2,9:02,4,24,DAL 22,7,7,"Mat McBriar punts 58 yards, returned by Antwaan Randle El for 15 yards (tackle by Keith Davis)",-1.900,-1.270
2,8:50,1,10,PIT 35,7,7,Duce Staley right tackle for 24 yards (tackle by Dat Nguyen and Randal Williams),1.270,2.850
2,8:09,1,10,DAL 41,7,7,Jerome Bettis right tackle for 1 yard (tackle by Kenyon Coleman),2.850,2.440
2,7:30,2,9,DAL 40,7,7,Ben Roethlisberger pass complete to Hines Ward for 11 yards (tackle by Terence Newman),2.440,3.640
2,6:22,1,10,DAL 29,7,7,Jerome Bettis up the middle for 2 yards (tackle by Dat Nguyen),3.640,3.370
2,6:04,2,8,DAL 27,7,7,Jerome Bettis right tackle for 1 yard (tackle by Chad Eaton and Alshermond Singleton),3.370,2.810
2,5:23,3,7,DAL 26,7,7,Ben Roethlisberger sacked by Greg Ellis for -7 yards,2.810,1.150
2,4:57,4,14,DAL 33,10,7,Jeff Reed 51 yard field goal good,1.150,3.000
