Quarter,Time,Tm,Detail,PIT,DAL
1.0,9:14,Cowboys,Richie Anderson 21 yard rush (Billy Cundiff kick),0,7
,5:22,Steelers,Plaxico Burress 5 yard pass from Ben Roethlisberger (Jeff Reed kick),7,7
2.0,4:37,Steelers,Jeff Reed 51 yard field goal,10,7
,0:15,Cowboys,Billy Cundiff 47 yard field goal,10,10
3.0,5:38,Cowboys,Billy Cundiff 39 yard field goal,10,13
,2:57,Cowboys,Keyshawn Johnson 22 yard pass from Vinny Testaverde (Billy Cundiff kick),10,20
4.0,11:48,Steelers,Jerame Tuman 7 yard pass from Ben Roethlisberger (Jeff Reed kick),17,20
,0:30,Steelers,Jerome Bettis 2 yard rush (Jeff Reed kick),24,20
