Unnamed: 0,PIT,DAL
First Downs,21,20
Rush-Yds-TDs,29-125-1,21-100-1
Cmp-Att-Yd-TD-INT,21-25-193-2-0,23-36-284-1-0
Sacked-Yards,3-21,5-36
Net Pass Yards,172,248
Total Yards,297,348
Fumbles-Lost,1-0,3-1
Turnovers,0,1
Penalties-Yards,6-45,5-30
Third Down Conv.,2-8,6-13
Fourth Down Conv.,0-0,0-0
Time of Possession,32:44,27:16
