Quarter,Time,Down,ToGo,Location,NYG,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,NYG 30,0,0,"Steve Christie kicks off 62 yards, returned by Kelly Campbell for 19 yards (tackle by David Tyree). Penalty on Mike Nattiel: Offensive Holding, 10 yards",0.000,-0.060
1,14:55,1,10,MIN 17,0,0,Mewelde Moore left end for 4 yards (tackle by Barrett Green and Will Allen),-0.060,0.080
1,14:13,2,6,MIN 21,0,0,Daunte Culpepper pass complete to Kelly Campbell for 3 yards (tackle by Frank Walker),0.080,-0.370
1,13:51,3,3,MIN 24,0,0,Daunte Culpepper pass complete to Kelly Campbell for 14 yards (tackle by Brent Alexander),-0.370,1.470
1,13:14,1,10,MIN 38,0,0,"Daunte Culpepper for no gain. Daunte Culpepper fumbles, recovered by Kevin Lewis at MIN-38 and returned for 16 yards (tackle by Mewelde Moore)",1.470,-4.110
,,,,,,,"MIN challenged the ruling, and the play was upheld.",,
1,13:02,1,10,MIN 22,0,0,Kurt Warner sacked by Kevin Williams for -4 yards,4.110,3.020
1,12:34,2,14,MIN 26,0,0,Tiki Barber left guard for 2 yards (tackle by Kevin Williams),3.020,2.610
1,11:57,3,12,MIN 24,0,0,Kurt Warner sacked by Kenechi Udeze for -8 yards,2.610,1.240
1,11:22,4,20,MIN 32,3,0,Steve Christie 50 yard field goal good,1.240,3.000
1,,,,NYG 30,3,0,"Steve Christie kicks off 69 yards, returned by Kelly Campbell for 22 yards (tackle by Nick Greisen)",0.000,0.480
1,11:11,1,10,MIN 23,3,0,Michael Bennett up the middle for 7 yards (tackle by Norman Hand),0.480,0.880
1,10:36,2,3,MIN 30,3,0,Daunte Culpepper pass incomplete intended for Kelly Campbell,0.880,0.170
1,10:32,3,3,MIN 30,3,0,Daunte Culpepper pass incomplete intended for Marcus Robinson (defended by Will Allen),0.170,-1.370
1,10:26,4,3,MIN 30,3,0,"Darren Bennett punts 35 yards, returned by Mark Jones for 5 yards (tackle by Derek Ross)",-1.370,-1.600
1,10:16,1,10,NYG 40,3,0,"Kurt Warner pass incomplete intended for Jeremy Shockey. Penalty on Corey Chavous: Defensive Pass Interference, 38 yards (no play)",1.600,4.110
1,10:09,1,10,MIN 22,3,0,Tiki Barber left tackle for 2 yards (tackle by Corey Chavous),4.110,3.830
1,9:34,2,8,MIN 20,3,0,Kurt Warner pass complete to Amani Toomer for 12 yards (tackle by E.J. Henderson),3.830,5.370
1,8:58,1,8,MIN 8,3,0,Tiki Barber up the middle for 6 yards (tackle by Brian Russell),5.370,5.720
1,8:19,2,2,MIN 2,9,0,"Tiki Barber up the middle for 2 yards, touchdown",5.720,7.000
1,,,,MIN 2,10,0,Steve Christie kicks extra point good,0.000,0.000
1,,,,NYG 30,10,0,"Steve Christie kicks off 62 yards, returned by Kelly Campbell for 22 yards (tackle by David Tyree)",0.000,0.940
1,8:09,1,10,MIN 30,10,0,Michael Bennett left guard for -1 yards (tackle by Michael Strahan),0.940,0.260
1,7:31,2,11,MIN 29,10,0,Mewelde Moore left end for 5 yards (tackle by Nick Greisen),0.260,0.230
1,6:46,3,6,MIN 34,10,0,"Penalty on Matt Birk: False Start, 5 yards (no play)",0.230,-0.430
1,6:29,3,11,MIN 29,10,0,Daunte Culpepper pass incomplete intended for Kelly Campbell,-0.430,-1.440
1,6:22,4,11,MIN 29,10,0,"Darren Bennett punts 44 yards, returned by Mark Jones for 7 yards (tackle by Raonall Smith)",-1.440,-1.200
1,6:12,1,10,NYG 34,10,0,Tiki Barber up the middle for 7 yards (tackle by Raonall Smith),1.200,1.600
1,5:38,2,3,NYG 41,10,0,Tiki Barber up the middle for 4 yards (tackle by Kevin Williams and Raonall Smith),1.600,1.930
1,5:01,1,10,NYG 45,10,0,"Kurt Warner pass complete to Tiki Barber for 4 yards (tackle by Kevin Williams). Penalty on E.J. Henderson: Defensive Holding, 5 yards (no play)",1.930,2.260
1,4:39,1,10,MIN 50,10,0,Kurt Warner pass incomplete intended for Jeremy Shockey (defended by E.J. Henderson),2.260,1.710
1,4:35,2,10,MIN 50,10,0,Tiki Barber right end for 7 yards (tackle by Kenny Mixon and Antoine Winfield),1.710,1.950
1,3:57,3,3,MIN 43,10,0,Kurt Warner sacked by Lance Johnstone for -2 yards,1.950,0.270
1,3:26,4,5,MIN 45,10,0,Jeff Feagles punts 44 yards,0.270,0.380
,,,,,,,"MIN challenged the ruling, and the play was upheld.",,
1,3:16,1,10,MIN 1,10,0,"Penalty on Fred Robbins: Encroachment, 5 yards (no play)",-0.380,-0.190
1,3:16,1,5,MIN 6,10,0,Daunte Culpepper pass complete to Marcus Robinson for 42 yards (tackle by Brent Alexander),-0.190,2.130
1,2:32,1,10,MIN 48,10,0,Daunte Culpepper pass complete to Nate Burleson for 6 yards (tackle by Will Allen),2.130,2.390
1,1:58,2,4,NYG 46,10,0,Mewelde Moore left end for 1 yard (tackle by Michael Strahan),2.390,1.820
1,1:15,3,3,NYG 45,10,0,Daunte Culpepper pass complete to Nate Burleson for 6 yards (tackle by Will Allen),1.820,2.980
1,0:34,1,10,NYG 39,10,0,Daunte Culpepper pass incomplete intended for Jermaine Wiggins,2.980,2.440
1,0:29,2,10,NYG 39,10,0,Daunte Culpepper pass incomplete intended for Jermaine Wiggins is intercepted by Gibril Wilson at NYG-25 and returned for 39 yards (tackle by Chris Liwienski),2.440,-3.180
1,0:15,1,10,MIN 36,10,0,Kurt Warner pass complete to Willie Ponder for 3 yards (tackle by Raonall Smith),3.180,3.040
Quarter,Time,Down,ToGo,Location,NYG,MIN,Detail,EPB,EPA
