Unnamed: 0,NYG,MIN
First Downs,22,15
Rush-Yds-TDs,39-168-4,20-93-1
Cmp-Att-Yd-TD-INT,13-21-144-0-0,24-41-231-1-2
Sacked-Yards,5-29,0-0
Net Pass Yards,115,231
Total Yards,283,324
Fumbles-Lost,3-0,1-1
Turnovers,0,3
Penalties-Yards,7-87,9-83
Third Down Conv.,4-11,10-17
Fourth Down Conv.,0-0,0-0
Time of Possession,32:28,27:32
