Quarter,Time,Tm,Detail,NYG,MIN
1.0,11:16,Giants,Steve Christie 50 yard field goal,3,0
,8:15,Giants,Tiki Barber 2 yard rush (Steve Christie kick),10,0
2.0,13:20,Giants,Tiki Barber 5 yard rush (Steve Christie kick),17,0
,0:05,Giants,Steve Christie 30 yard field goal,20,0
3.0,5:39,Giants,Mike Cloud 1 yard rush (Steve Christie kick),27,0
4.0,12:08,Giants,Mike Cloud 2 yard rush (Steve Christie kick),34,0
,9:01,Vikings,Michael Bennett 10 yard rush (Morten Andersen kick),34,7
,2:44,Vikings,Nate Burleson 1 yard pass from Daunte Culpepper (pass failed),34,13
