#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,CLE 41,4,1:42,59,Touchdown
2,1,9:47,CLE 11,6,3:10,12,Punt
3,1,4:36,CLE 21,4,2:54,15,Punt
4,2,13:36,CLE 10,3,1:32,90,Touchdown
5,2,11:51,CLE 25,3,1:28,-4,Punt
6,2,7:07,,6,2:51,50,Touchdown
7,2,1:58,CLE 34,2,0:28,2,Interception
8,2,0:23,HOU 41,4,0:23,23,Interception
9,3,12:14,CLE 6,18,9:39,94,Touchdown
10,3,1:37,CLE 49,10,4:06,51,Touchdown
11,4,10:57,HOU 40,6,2:51,1,Downs
12,4,4:12,HOU 44,8,2:06,27,Downs
13,4,0:24,CLE 49,1,0:24,-1,End of Game
