Quarter,Time,Tm,Detail,CLE,HOU
1.0,13:18,Browns,Jerome Ford 4 yard rush (Dustin Hopkins kick),7,0
2.0,11:54,Browns,Amari Cooper 75 yard pass from Joe Flacco (Dustin Hopkins kick),14,0
,11:51,Texans,Dameon Pierce 98 yard kickoff return (Ka'imi Fairbairn kick),14,7
,4:16,Browns,David Njoku 21 yard pass from Joe Flacco (Dorian Thompson-Robinson run),22,7
3.0,2:35,Browns,Amari Cooper 7 yard pass from Joe Flacco (run failed),28,7
4.0,12:31,Browns,Kareem Hunt 1 yard rush (Amari Cooper pass from Joe Flacco),36,7
,6:08,Texans,Nico Collins 5 yard pass from Davis Mills (Nico Collins pass from Davis Mills),36,15
,4:12,Texans,Andrew Beck 1 yard pass from Davis Mills (Ka'imi Fairbairn kick),36,22
