Unnamed: 0,CLE,HOU
First Downs,26,20
Rush-Yds-TDs,30-54-2,16-72-0
Cmp-Att-Yd-TD-INT,28-44-374-3-2,26-49-211-2-2
Sacked-Yards,1-10,3-33
Net Pass Yards,364,178
Total Yards,418,250
Fumbles-Lost,0-0,1-0
Turnovers,2,2
Penalties-Yards,9-55,10-76
Third Down Conv.,6-16,5-15
Fourth Down Conv.,4-6,1-3
Time of Possession,33:34,26:26
