Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Jerome Ford,CLE,15,25,1,2,14,0.9,11,0.7,4,3.8
Kareem Hunt,CLE,7,11,1,1,4,0.6,7,1.0,0,
Pierre Strong,CLE,5,22,0,,15,3.0,7,1.4,0,
Joe Flacco,CLE,2,1,0,1,1,0.5,0,0.0,0,
Dorian Thompson-Robinson,CLE,1,-5,0,0,-5,-5.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Devin Singletary,HOU,9,44,0,3,32,3.6,12,1.3,1,9.0
Dameon Pierce,HOU,3,6,0,0,3,1.0,3,1.0,0,
Davis Mills,HOU,2,9,0,0,9,4.5,0,0.0,0,
Dare Ogunbowale,HOU,1,6,0,,3,3.0,3,3.0,1,1.0
Robert Woods,HOU,1,7,0,0,7,7.0,0,0.0,0,
