Unnamed: 0,GNB,ATL
First Downs,24,30
Rush-Yds-TDs,17-99-0,30-101-2
Cmp-Att-Yd-TD-INT,27-45-287-3-1,27-38-392-4-0
Sacked-Yards,2-19,0-0
Net Pass Yards,268,392
Total Yards,367,493
Fumbles-Lost,1-1,2-0
Turnovers,2,0
Penalties-Yards,6-63,4-31
Third Down Conv.,4-10,10-13
Fourth Down Conv.,2-2,0-0
Time of Possession,26:21,33:39
