Quarter,Time,Tm,Detail,GNB,ATL
1.0,8:24,Falcons,Mohamed Sanu 2 yard pass from Matt Ryan (Matt Bryant kick),0,7
,0:14,Falcons,Matt Bryant 28 yard field goal,0,10
2.0,7:24,Falcons,Matt Ryan 14 yard rush (Matt Bryant kick),0,17
,0:03,Falcons,Julio Jones 5 yard pass from Matt Ryan (Matt Bryant kick),0,24
3.0,13:51,Falcons,Julio Jones 73 yard pass from Matt Ryan (Matt Bryant kick),0,31
,9:19,Packers,Davante Adams 2 yard pass from Aaron Rodgers (Mason Crosby kick),7,31
,4:11,Falcons,Devonta Freeman 4 yard pass from Matt Ryan (Matt Bryant kick failed),7,37
,0:38,Packers,Jordy Nelson 3 yard pass from Aaron Rodgers (Aaron Ripkowski run),15,37
4.0,12:07,Falcons,Tevin Coleman 3 yard rush (Matt Bryant kick),15,44
,6:43,Packers,Jared Cook 1 yard pass from Aaron Rodgers (run failed),21,44
