Quarter,Time,Down,ToGo,Location,GNB,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 68 yards, returned by Eric Weems for 23 yards (tackle by Kentrell Brice)",0.000,-0.280
1,14:56,1,10,ATL 20,0,0,Devonta Freeman right end for 4 yards (tackle by Mike Daniels),0.280,0.270
1,14:22,2,6,ATL 24,0,0,Matt Ryan pass complete short left to Austin Hooper for 8 yards (tackle by Micah Hyde),0.270,1.070
1,14:01,1,10,ATL 32,0,0,Matt Ryan pass incomplete deep right intended for Taylor Gabriel,1.070,0.530
1,13:56,2,10,ATL 32,0,0,Matt Ryan pass complete short middle to Julio Jones for 4 yards (tackle by Jake Ryan),0.530,0.370
1,13:14,3,6,ATL 36,0,0,Matt Ryan pass complete short left to Julio Jones for 6 yards (tackle by Ladarius Gunter),0.370,1.730
1,12:34,1,10,ATL 42,0,0,Tevin Coleman right guard for 10 yards (tackle by Morgan Burnett),1.730,2.390
1,12:01,1,10,GNB 48,0,0,Tevin Coleman right guard for -1 yards (tackle by Nick Perry),2.390,1.710
1,11:15,2,11,GNB 49,0,0,Matt Ryan pass incomplete deep left intended for Julio Jones (defended by Ha Ha Clinton-Dix),1.710,1.030
1,11:10,3,11,GNB 49,0,0,Matt Ryan pass complete short middle to Mohamed Sanu for 13 yards (tackle by Micah Hyde),1.030,3.180
1,10:29,1,10,GNB 36,0,0,Matt Ryan pass complete short right to Patrick DiMarco for 31 yards (tackle by Jake Ryan and Morgan Burnett),3.180,6.060
1,9:56,1,5,GNB 5,0,0,Tevin Coleman right guard for 2 yards (tackle by Julius Peppers),6.060,5.530
1,9:16,2,3,GNB 3,0,0,Tevin Coleman left guard for 1 yard (tackle by Julius Peppers),5.530,4.950
1,8:30,3,2,GNB 2,0,6,"Matt Ryan pass complete short left to Mohamed Sanu for 2 yards, touchdown. Penalty on Ha Ha Clinton-Dix: Unnecessary Roughness, 15 yards",4.950,7.000
1,8:24,,,GNB 15,0,7,Matt Bryant kicks extra point good,0.000,0.000
1,8:24,,,,0,7,"Matthew Bosher kicks off 50 yards, touchback",0.000,-0.610
1,8:24,1,10,GNB 25,0,7,Ty Montgomery right guard for 4 yards (tackle by Keanu Neal and Dwight Freeney),0.610,0.600
1,7:44,2,6,GNB 29,0,7,Aaron Rodgers pass complete deep left to Jordy Nelson for 27 yards (tackle by Ricardo Allen),0.600,2.650
1,7:10,1,10,ATL 44,0,7,Aaron Rodgers pass complete short right to Jordy Nelson for 15 yards (tackle by Brian Poole),2.650,3.640
1,6:28,1,10,ATL 29,0,7,Aaron Rodgers pass complete short left to Davante Adams for 6 yards (tackle by Ricardo Allen),3.640,3.910
1,5:50,2,4,ATL 23,0,7,Aaron Rodgers pass incomplete deep left intended for Jared Cook,3.910,0.000
1,5:44,,,,0,7,Timeout #1 by Green Bay Packers,0.000,-3.200
1,5:44,3,4,ATL 23,0,7,Aaron Rodgers pass incomplete,3.200,2.000
1,5:39,4,4,ATL 23,0,7,Mason Crosby 41 yard field goal no good,2.000,-1.000
1,5:35,1,10,ATL 31,0,7,"Penalty on Andy Levitre: False Start, 5 yards (no play)",1.000,0.670
1,5:35,1,15,ATL 26,0,7,Devonta Freeman right guard for 3 yards (tackle by Clay Matthews),0.670,0.190
1,4:55,2,12,ATL 29,0,7,Matt Ryan pass complete deep right to Mohamed Sanu for 16 yards (tackle by Morgan Burnett),0.190,1.930
1,4:11,1,10,ATL 45,0,7,Matt Ryan pass complete short middle to Levine Toilolo for 5 yards (tackle by Joe Thomas),1.930,2.060
1,3:37,2,5,,0,7,Devonta Freeman left guard for -2 yards (tackle by Ha Ha Clinton-Dix),2.060,1.090
1,2:56,3,7,ATL 48,0,7,Matt Ryan pass complete short right to Austin Hooper for 15 yards (tackle by Ladarius Gunter),1.090,3.120
1,2:20,1,10,GNB 37,0,7,Matt Ryan pass complete deep right to Mohamed Sanu for 15 yards,3.120,4.110
1,1:48,1,10,GNB 22,0,7,Matt Ryan pass incomplete short left intended for Aldrick Robinson,4.110,3.560
1,1:44,2,10,GNB 22,0,7,Matt Ryan pass complete short left to Tevin Coleman for 10 yards (tackle by Ha Ha Clinton-Dix),3.560,4.780
1,1:08,1,10,GNB 12,0,7,Mohamed Sanu right guard for 7 yards (tackle by Joe Thomas),4.780,5.410
1,0:29,2,3,GNB 5,0,7,Matt Ryan pass incomplete short left intended for Mohamed Sanu,5.410,4.610
1,0:26,3,3,GNB 5,0,7,"Penalty on Andy Levitre: False Start, 5 yards (no play)",4.610,3.480
1,0:26,3,8,GNB 10,0,7,Matt Ryan pass incomplete short left intended for Julio Jones. Penalty on Alex Mack: Offensive Holding (Declined),3.480,2.760
1,0:17,4,8,GNB 10,0,10,Matt Bryant 28 yard field goal good,2.760,3.000
1,0:14,,,ATL 35,0,10,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.610
1,0:14,1,10,GNB 25,0,10,Aaron Rodgers pass complete short left to Ty Montgomery for 2 yards (tackle by Jalen Collins and Ricardo Allen),0.610,0.330
Quarter,Time,Down,ToGo,Location,GNB,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,GNB 27,0,10,Aaron Rodgers pass complete short left to Randall Cobb for 17 yards (tackle by Deion Jones and Ricardo Allen),0.330,1.860
2,14:20,1,10,GNB 44,0,10,Aaron Rodgers pass complete deep middle to Randall Cobb for 22 yards (tackle by Brian Poole and Deion Jones),1.860,3.310
2,13:42,1,10,ATL 34,0,10,Ty Montgomery left tackle for 3 yards (tackle by Deion Jones),3.310,3.180
2,13:01,2,7,ATL 31,0,10,Aaron Rodgers pass complete short left to Christine Michael for 3 yards (tackle by De'Vondre Campbell),3.180,2.870
2,11:50,3,4,ATL 28,0,10,Aaron Rodgers pass complete short middle to Jared Cook for 5 yards (tackle by Keanu Neal),2.870,4.040
2,11:11,1,10,ATL 23,0,10,"Aaron Ripkowski left guard for 12 yards (tackle by Jalen Collins). Aaron Ripkowski fumbles (forced by Jalen Collins), recovered by Jalen Collins at ATL-0",4.040,-0.280
2,10:59,1,10,ATL 20,0,10,Matt Ryan pass complete deep middle to Julio Jones for 17 yards (tackle by Ladarius Gunter),0.280,1.400
2,10:18,1,10,ATL 37,0,10,Matt Ryan pass complete deep right to Julio Jones for 20 yards,1.400,2.720
2,9:48,1,10,GNB 43,0,10,Devonta Freeman left end for 4 yards (tackle by Nick Perry and Jake Ryan),2.720,2.720
2,9:22,2,6,GNB 39,0,10,Matt Ryan pass complete short right to Mohamed Sanu for 6 yards (tackle by Ladarius Gunter),2.720,3.380
2,8:43,1,10,GNB 33,0,10,Devonta Freeman right guard for no gain (tackle by Dean Lowry),3.380,2.840
2,8:14,2,10,GNB 33,0,10,Matt Ryan pass incomplete short right intended for Julio Jones,2.840,2.150
2,8:10,3,10,GNB 33,0,10,Matt Ryan pass complete short left to Julio Jones for 19 yards (tackle by Joe Thomas),2.150,4.650
2,7:37,1,10,GNB 14,0,10,Matt Ryan pass incomplete short left intended for Aldrick Robinson,4.650,4.000
2,7:31,2,10,GNB 14,0,16,"Matt Ryan right end for 14 yards, touchdown",4.000,7.000
2,7:24,,,GNB 15,0,17,Matt Bryant kicks extra point good,0.000,0.000
2,7:24,,,ATL 35,0,17,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.610
2,7:24,1,10,GNB 25,0,17,Aaron Rodgers pass complete short right to Jordy Nelson for 8 yards (tackle by Brian Poole),0.610,1.140
2,6:58,2,2,GNB 33,0,17,Aaron Rodgers pass incomplete short right intended for Jordy Nelson (defended by Robert Alford),1.140,0.430
2,6:54,3,2,GNB 33,0,17,Aaron Rodgers pass complete short left to Randall Cobb for no gain,0.430,-1.180
2,6:10,4,2,GNB 33,0,17,"Jake Schum punts 58 yards, returned by Eric Weems for 14 yards (tackle by Jayrone Elliott)",-1.180,-0.480
2,5:58,1,10,ATL 23,0,17,Matt Ryan pass complete short right to Tevin Coleman for 17 yards (tackle by Damarious Randall),0.480,1.600
2,5:27,1,10,ATL 40,0,17,Tevin Coleman right end for 3 yards (tackle by Joe Thomas and Julius Peppers),1.600,1.460
2,4:46,2,7,ATL 43,0,17,"Taylor Gabriel for no gain. Taylor Gabriel fumbles, recovered by Taylor Gabriel at ATL-40",1.460,0.370
2,4:07,3,10,ATL 40,0,17,Matt Ryan pass complete short middle to Tevin Coleman for 8 yards (tackle by Micah Hyde and Morgan Burnett),0.370,-0.190
2,3:22,4,2,ATL 48,0,17,"Matthew Bosher punts 42 yards, fair catch by Randall Cobb",-0.190,0.380
2,3:15,1,10,GNB 10,0,17,Aaron Rodgers pass complete short right to Jordy Nelson for 9 yards (tackle by Robert Alford),-0.380,0.240
2,2:50,2,1,GNB 19,0,17,Aaron Rodgers pass complete short left to Randall Cobb for 5 yards (tackle by Deion Jones),0.240,0.540
