Unnamed: 0,PHI,ARI
First Downs,26,26
Rush-Yds-TDs,29-117-1,30-103-1
Cmp-Att-Yd-TD-INT,24-44-338-3-0,28-37-432-3-1
Sacked-Yards,6-33,1-9
Net Pass Yards,305,423
Total Yards,422,526
Fumbles-Lost,3-0,3-2
Turnovers,0,3
Penalties-Yards,9-69,9-83
Third Down Conv.,6-18,3-10
Fourth Down Conv.,3-4,1-2
Time of Possession,32:13,27:47
