Quarter,Time,Tm,Detail,PHI,ARI
1.0,9:34,Cardinals,"Safety, Jalen Hurts Intentional Grounding in end zone",0,2
,5:46,Cardinals,Kyler Murray 8 yard rush (Mike Nugent kick),0,9
,2:18,Cardinals,Chase Edmonds 6 yard pass from Kyler Murray (Mike Nugent kick),0,16
2.0,14:01,Eagles,Quez Watkins 32 yard pass from Jalen Hurts (Jake Elliott kick),7,16
,11:37,Cardinals,Mike Nugent 40 yard field goal,7,19
,6:20,Eagles,Greg Ward 4 yard pass from Jalen Hurts (Jake Elliott kick),14,19
,2:13,Cardinals,Larry Fitzgerald 14 yard pass from Kyler Murray (Mike Nugent kick),14,26
,1:19,Eagles,Greg Ward 5 yard pass from Jalen Hurts (run failed),20,26
3.0,0:55,Eagles,Jalen Hurts 7 yard rush (run failed),26,26
4.0,7:17,Cardinals,DeAndre Hopkins 20 yard pass from Kyler Murray (Mike Nugent kick),26,33
