0,1
Officials,Officials
Referee,Craig Wrolstad
Umpire,Ruben Fowler
Down Judge,Jerry Bergman
Line Judge,David Oliver
Back Judge,Keith Ferguson
Side Judge,Jeff Lamberth
Field Judge,Aaron Santi
