Quarter,Time,Tm,Detail,CHI,GNB
1.0,12:24,Packers,Mason Crosby 30 yard field goal,0,3
,9:48,Bears,Brandon Marshall 23 yard pass from Josh McCown (Robbie Gould kick),7,3
,3:38,Packers,James Starks 32 yard rush (Mason Crosby kick),7,10
2.0,9:26,Bears,Matt Forte 1 yard rush (Robbie Gould kick),14,10
,0:00,Bears,Robbie Gould 24 yard field goal,17,10
3.0,13:04,Packers,Eddie Lacy 1 yard rush (Mason Crosby kick),17,17
,8:45,Packers,Mason Crosby 23 yard field goal,17,20
,2:41,Bears,Alshon Jeffery 6 yard pass from Josh McCown (Robbie Gould kick),24,20
4.0,0:50,Bears,Robbie Gould 27 yard field goal,27,20
