Unnamed: 0,CHI,GNB
First Downs,25,17
Rush-Yds-TDs,33-171-1,29-199-2
Cmp-Att-Yd-TD-INT,22-41-272-2-0,12-21-141-0-1
Sacked-Yards,1-1,5-28
Net Pass Yards,271,113
Total Yards,442,312
Fumbles-Lost,0-0,2-0
Turnovers,0,1
Penalties-Yards,4-45,0-0
Third Down Conv.,6-14,1-9
Fourth Down Conv.,1-1,0-0
Time of Possession,33:09,26:51
