Quarter,Time,Tm,Detail,CHI,WAS
1.0,12:04,Bears,D.J. Moore 20 yard pass from Justin Fields (Cairo Santos kick),7,0
,4:18,Bears,Cairo Santos 22 yard field goal,10,0
2.0,14:15,Bears,D.J. Moore 11 yard pass from Justin Fields (Cairo Santos kick),17,0
,8:33,Commanders,Joey Slye 51 yard field goal,17,3
,2:24,Bears,Cairo Santos 36 yard field goal,20,3
,0:24,Bears,Cole Kmet 4 yard pass from Justin Fields (Cairo Santos kick),27,3
3.0,12:00,Commanders,Logan Thomas 2 yard pass from Sam Howell (Sam Howell run),27,11
,3:17,Commanders,Joey Slye 32 yard field goal,27,14
4.0,14:09,Bears,Cairo Santos 43 yard field goal,30,14
,10:51,Commanders,Curtis Samuel 3 yard pass from Sam Howell (pass failed),30,20
,4:09,Bears,D.J. Moore 56 yard pass from Justin Fields (Cairo Santos kick),37,20
,1:56,Bears,Cairo Santos 37 yard field goal,40,20
