Unnamed: 0,CHI,WAS
First Downs,18,23
Rush-Yds-TDs,32-178-0,10-29-0
Cmp-Att-Yd-TD-INT,15-29-282-4-0,37-51-388-2-1
Sacked-Yards,3-9,5-29
Net Pass Yards,273,359
Total Yards,451,388
Fumbles-Lost,1-0,1-1
Turnovers,0,2
Penalties-Yards,3-35,1-5
Third Down Conv.,7-15,6-12
Fourth Down Conv.,1-1,0-1
Time of Possession,30:04,29:56
