Quarter,Time,Down,ToGo,Location,CHI,WAS,Detail,EPB,EPA
2,8:23,2,3,CHI 32,17,3,Justin Fields pass complete deep middle to Cole Kmet for 23 yards (tackle by Cody Barton),1.010,2.590
2,7:19,1,10,WAS 45,17,3,Khalil Herbert right tackle for 3 yards (tackle by Daron Payne and Percy Butler),2.590,2.450
2,6:33,2,7,WAS 42,17,3,Justin Fields pass incomplete deep left intended for Darnell Mooney,2.450,1.750
2,6:28,3,7,WAS 42,17,3,Khalil Herbert right guard for 6 yards (tackle by Kamren Curl),1.750,0.890
2,6:03,4,1,WAS 36,17,3,Justin Fields up the middle for 1 yard (tackle by Cody Barton and Montez Sweat),0.890,3.250
2,5:40,1,10,WAS 35,17,3,Justin Fields pass incomplete short left intended for Equanimeous St. Brown,3.250,2.700
2,5:23,2,10,WAS 35,17,3,Khalil Herbert left tackle for 9 yards (tackle by Cody Barton),2.700,3.200
2,4:40,3,1,WAS 26,17,3,Justin Fields up the middle for 2 yards (tackle by Jamin Davis),3.200,3.970
2,4:04,1,10,WAS 24,17,3,Justin Fields sacked by and Montez Sweat for no gain and Chase Young for no gain,3.970,3.430
2,3:21,2,10,WAS 24,17,3,Justin Fields pass complete short right to Cole Kmet for 6 yards (tackle by Kamren Curl),3.430,3.570
2,2:36,3,4,WAS 18,17,3,Justin Fields pass incomplete deep left intended for Darnell Mooney (defended by Benjamin St-Juste),3.570,2.320
2,2:28,4,4,WAS 18,20,3,Cairo Santos 36 yard field goal good,2.320,3.000
2,2:24,,,CHI 35,20,3,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
2,2:24,1,10,WAS 25,20,3,Sam Howell pass short middle intended for Curtis Samuel is intercepted by Greg Stroman at WAS-36 and returned for no gain (tackle by Curtis Samuel),0.610,-3.180
2,2:19,1,10,WAS 36,20,3,Justin Fields pass incomplete short left intended for Khalil Herbert (defended by Chase Young),3.180,2.640
2,2:15,2,10,WAS 36,20,3,Khalil Herbert right tackle for 3 yards (tackle by John Ridgeway and James Smith-Williams),2.640,2.350
2,2:00,3,7,WAS 33,20,3,Khalil Herbert left guard for 16 yards (tackle by Cody Barton),2.350,4.440
2,1:13,1,10,WAS 17,20,3,Khalil Herbert left end for 4 yards (tackle by Benjamin St-Juste),4.440,4.500
2,1:07,2,6,WAS 13,20,3,Justin Fields scrambles left end for 9 yards (tackle by Darrick Forrest),4.500,6.280
2,0:27,1,4,WAS 4,26,3,"Justin Fields pass complete short middle to Cole Kmet for 4 yards, touchdown",6.280,7.000
2,0:24,,,WAS 15,27,3,Cairo Santos kicks extra point good,0.000,0.000
2,0:24,,,CHI 35,27,3,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
2,0:24,1,10,WAS 25,27,3,Sam Howell pass incomplete short right,0.610,0.060
2,0:19,2,10,WAS 25,27,3,Sam Howell pass complete short right to Antonio Gibson for 1 yard (tackle by Tyrique Stevenson),0.060,-0.490
2,0:12,3,9,WAS 26,27,3,Sam Howell pass complete short right to Antonio Gibson for 10 yards (tackle by T.J. Edwards and Tyrique Stevenson),-0.490,1.330
2,0:03,,,,,,Timeout #1 by Washington Commanders,,
2,0:03,1,10,WAS 36,27,3,Sam Howell pass complete short right to Logan Thomas for 24 yards (tackle by T.J. Edwards and Tremaine Edmunds),1.330,2.920
Quarter,Time,Down,ToGo,Location,CHI,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 35,27,3,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,WAS 25,27,3,Sam Howell pass complete short right to Brian Robinson for 24 yards (tackle by Tyrique Stevenson and DeMarcus Walker),0.610,2.190
3,14:13,1,10,WAS 49,27,3,Sam Howell pass complete short middle to Brian Robinson for 7 yards (tackle by Tremaine Edmunds and T.J. Edwards),2.190,2.590
3,13:37,2,3,CHI 44,27,3,Sam Howell pass complete short right to Logan Thomas for 5 yards (tackle by Tyrique Stevenson),2.590,2.980
3,13:09,1,10,CHI 39,27,3,Sam Howell pass complete short left to Antonio Gibson for 12 yards (tackle by Jack Sanborn),2.980,3.780
3,12:13,1,10,CHI 27,27,3,"Sam Howell pass incomplete deep left intended for Terry McLaurin. Penalty on Tyrique Stevenson: Defensive Pass Interference, 25 yards (accepted) (no play)",3.780,6.740
3,12:06,1,2,CHI 2,27,9,"Sam Howell pass complete short right to Logan Thomas for 2 yards, touchdown",6.740,7.000
3,12:00,,,CHI 2,27,11,"Two Point Attempt: Sam Howell rushes, conversion succeeds.",1.000,1.000
3,12:00,,,WAS 35,27,11,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
3,12:00,1,10,CHI 25,27,11,Justin Fields up the middle for 1 yard (tackle by Kamren Curl),0.610,0.200
3,11:14,2,9,CHI 26,27,11,Justin Fields left tackle for 14 yards (tackle by Darrick Forrest),0.200,1.600
3,10:41,1,10,CHI 40,27,11,Justin Fields pass incomplete short right intended for Khalil Herbert (defended by Montez Sweat),1.600,1.050
3,10:33,2,10,CHI 40,27,11,Justin Fields pass complete short left to D.J. Moore for 5 yards (tackle by Emmanuel Forbes),1.050,1.030
3,9:54,3,5,CHI 45,27,11,Justin Fields pass incomplete short left intended for Khalil Herbert,1.030,-0.390
3,9:45,4,5,CHI 45,27,11,"Trenton Gill punts 45 yards, returned by Jamison Crowder for 20 yards (tackle by Elijah Hicks)",-0.390,-0.940
3,9:32,1,10,WAS 30,27,11,Sam Howell pass complete short middle to Logan Thomas for 7 yards (tackle by Jaquan Brisker),0.940,1.340
3,8:54,2,3,WAS 37,27,11,Sam Howell pass complete short right to Logan Thomas for 8 yards. Logan Thomas fumbles (forced by Terell Smith) (tackle by Greg Stroman and Terell Smith),1.340,-2.520
3,8:44,1,10,WAS 46,27,11,Justin Fields sacked by Jonathan Allen for -5 yards,2.520,1.300
3,8:01,2,15,CHI 49,27,11,Justin Fields pass incomplete short left,1.300,0.630
3,7:54,3,15,CHI 49,27,11,"Penalty on Ja'Tyre Carter: False Start, 5 yards (accepted) (no play)",0.630,-0.030
3,7:54,3,20,CHI 44,27,11,Justin Fields pass incomplete short left,-0.030,-0.460
3,7:49,4,20,CHI 44,27,11,Trenton Gill punts 39 yards downed by Jack Sanborn,-0.460,0.060
3,7:40,1,10,WAS 17,27,11,Sam Howell pass complete short right to Brian Robinson for 7 yards (tackle by Jaquan Brisker and Tyrique Stevenson),-0.060,0.480
3,7:04,2,3,WAS 24,27,11,Sam Howell pass complete deep right to Antonio Gibson for 41 yards (tackle by Elijah Hicks and Jaquan Brisker),0.480,3.250
3,6:23,1,10,CHI 35,27,11,Sam Howell pass complete short right to Jahan Dotson for 14 yards (tackle by Tyrique Stevenson),3.250,4.170
3,5:35,1,10,CHI 21,27,11,Sam Howell sacked by Greg Stroman for -9 yards,4.170,2.410
3,4:48,2,19,CHI 30,27,11,Sam Howell pass complete short right to Jahan Dotson for 7 yards (tackle by T.J. Edwards),2.410,2.680
3,4:14,3,12,CHI 23,27,11,Sam Howell scrambles right end for 10 yards (tackle by Tremaine Edmunds and Jaquan Brisker),2.680,2.690
3,3:20,4,2,CHI 13,27,14,Joey Slye 32 yard field goal good,2.690,3.000
3,3:17,,,WAS 35,27,14,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
3,3:17,1,10,CHI 25,27,14,Justin Fields right end for 4 yards (tackle by Kendall Fuller),0.610,0.600
3,2:34,2,6,CHI 29,27,14,Justin Fields left guard for 8 yards (tackle by Jamin Davis),0.600,1.400
3,1:49,1,10,CHI 37,27,14,Khalil Herbert right tackle for no gain (tackle by Montez Sweat),1.400,0.860
3,1:09,2,10,CHI 37,27,14,Justin Fields pass complete short right to D.J. Moore for 32 yards (tackle by Darrick Forrest),0.860,3.510
3,0:37,1,10,WAS 31,27,14,Khari Blasingame left tackle for 3 yards (tackle by Cody Barton and Jonathan Allen),3.510,3.370
Quarter,Time,Down,ToGo,Location,CHI,WAS,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,WAS 28,27,14,Khari Blasingame left tackle for 3 yards (tackle by Jonathan Allen and Daron Payne),3.370,3.070
4,14:20,3,4,WAS 25,27,14,Justin Fields pass incomplete deep left intended for D.J. Moore,3.070,1.790
4,14:13,4,5,WAS 26,30,14,Cairo Santos 43 yard field goal good,1.790,3.000
4,14:09,,,CHI 35,30,14,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
4,14:09,1,10,WAS 25,30,14,Sam Howell scrambles up the middle for 5 yards (tackle by Yannick Ngakoue and Tremaine Edmunds),0.610,0.740
4,13:40,2,5,WAS 30,30,14,"Sam Howell pass complete short right to Terry McLaurin for 10 yards (tackle by Terell Smith). Penalty on Tremaine Edmunds: Illegal Contact, 5 yards (declined)",0.740,1.600
4,13:34,1,10,WAS 40,30,14,Sam Howell pass complete short middle to Byron Pringle for 10 yards (tackle by Jaquan Brisker),1.600,2.260
4,13:06,1,10,CHI 50,30,14,Sam Howell pass incomplete short right intended for Byron Pringle,2.260,1.710
4,13:02,2,10,CHI 50,30,14,Sam Howell pass complete short middle to Jamison Crowder for 11 yards (tackle by Greg Stroman),1.710,2.980
4,12:12,1,10,CHI 39,30,14,Sam Howell pass incomplete short right,2.980,2.440
4,12:09,2,10,CHI 39,30,14,Sam Howell pass incomplete deep right intended for Logan Thomas (defended by Tyrique Stevenson),2.440,1.750
4,12:03,3,10,CHI 39,30,14,Sam Howell pass complete short right to Dyami Brown for 11 yards (tackle by Justin Jones and Tyrique Stevenson),1.750,3.710
4,11:37,1,10,CHI 28,30,14,Sam Howell pass complete deep left to Curtis Samuel for 25 yards (tackle by Terell Smith and Elijah Hicks),3.710,6.510
4,11:04,1,3,CHI 3,30,14,Sam Howell pass incomplete short right intended for Logan Thomas (defended by Elijah Hicks),6.510,5.530
4,10:58,2,3,CHI 3,30,14,Sam Howell pass incomplete short middle intended for Dyami Brown,5.530,4.720
4,10:55,3,3,CHI 3,30,20,"Sam Howell pass complete short right to Curtis Samuel for 3 yards, touchdown",4.720,7.000
4,10:51,,,CHI 2,30,20,"Two Point Attempt: Sam Howell pass incomplete, sacked by",1.000,-1.000
4,10:51,,,WAS 35,30,20,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
4,10:51,1,10,CHI 25,30,20,Khari Blasingame left guard for 5 yards (tackle by Jonathan Allen and John Ridgeway),0.610,0.740
4,10:10,2,5,CHI 30,30,20,Justin Fields right end for 3 yards (tackle by Danny Johnson and Kamren Curl),0.740,0.430
4,9:29,3,2,CHI 33,30,20,Justin Fields pass incomplete short left intended for D.J. Moore (defended by Benjamin St-Juste),0.430,-1.180
4,9:25,4,2,CHI 33,30,20,"Trenton Gill punts 47 yards, fair catch by Jamison Crowder at WAS-20",-1.180,-0.280
4,9:13,1,10,WAS 20,30,20,Sam Howell pass incomplete short left intended for Antonio Gibson (defended by Gervon Dexter),0.280,-0.270
4,9:08,2,10,WAS 20,30,20,Sam Howell pass complete short middle to Curtis Samuel for 15 yards (tackle by Jaylon Jones),-0.270,1.270
4,8:39,1,10,WAS 35,30,20,Sam Howell scrambles left end for 1 yard (tackle by Elijah Hicks),1.270,0.860
4,7:58,2,9,WAS 36,30,20,Sam Howell sacked by Yannick Ngakoue for -4 yards,0.860,-0.360
4,7:19,3,13,WAS 32,30,20,Sam Howell pass complete short middle to Logan Thomas for 13 yards (tackle by Tremaine Edmunds),-0.360,1.930
4,6:45,1,10,WAS 45,30,20,Sam Howell pass incomplete deep right intended for Terry McLaurin,1.930,1.380
4,6:38,2,10,WAS 45,30,20,Sam Howell pass complete deep left to Terry McLaurin for 32 yards (tackle by Greg Stroman and Tyrique Stevenson),1.380,4.040
4,6:10,1,10,CHI 23,30,20,Sam Howell pass incomplete deep left intended for Jahan Dotson,4.040,3.500
4,5:44,2,10,CHI 23,30,20,Sam Howell pass complete short left to Brian Robinson for -5 yards (tackle by DeMarcus Walker and Tremaine Edmunds),3.500,2.150
4,5:20,3,15,CHI 28,30,20,Sam Howell pass incomplete short right intended for Antonio Gibson,2.150,1.590
4,5:14,4,15,CHI 28,30,20,Joey Slye 46 yard field goal no good,1.590,-1.330
4,5:11,1,10,CHI 36,30,20,Khari Blasingame left end for 6 yards (tackle by John Ridgeway and James Smith-Williams),1.330,1.600
4,4:31,2,4,CHI 42,30,20,Khari Blasingame right guard for 2 yards (tackle by Jonathan Allen and Daron Payne),1.600,1.160
4,4:18,,,,,,Timeout #1 by Washington Commanders,,
4,4:18,3,2,CHI 44,36,20,"Justin Fields pass complete short left to D.J. Moore for 56 yards, touchdown",1.160,7.000
4,4:09,,,WAS 15,37,20,Cairo Santos kicks extra point good,0.000,0.000
4,4:09,,,CHI 35,37,20,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
4,4:09,1,10,WAS 25,37,20,Sam Howell sacked by DeMarcus Walker for -11 yards,0.610,-1.540
4,3:42,2,21,WAS 14,37,20,Sam Howell pass complete short right to Curtis Samuel for 8 yards (tackle by Greg Stroman),-1.540,-1.020
4,3:21,3,13,WAS 22,37,20,Sam Howell sacked by Rasheem Green for -5 yards,-1.020,-2.320
4,2:39,4,18,WAS 17,37,20,Sam Howell pass complete short right to Cole Turner for 9 yards (tackle by T.J. Edwards and Jaylon Jones),-2.320,-3.840
4,2:30,1,10,WAS 26,37,20,Khari Blasingame left end for 2 yards (tackle by Jonathan Allen),3.840,3.570
4,2:24,,,,,,Timeout #2 by Washington Commanders,,
4,2:24,2,8,WAS 24,37,20,Khari Blasingame right guard for 3 yards (tackle by Daron Payne and Abdullah Anderson),3.570,3.270
4,2:19,,,,,,Timeout #3 by Washington Commanders,,
4,2:19,3,5,WAS 21,37,20,Khari Blasingame left tackle for 2 yards (tackle by Abdullah Anderson and Jamin Davis),3.270,2.280
4,2:00,4,3,WAS 19,40,20,Cairo Santos 37 yard field goal good,2.280,3.000
4,1:56,,,CHI 35,40,20,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
4,1:56,1,10,WAS 25,40,20,Sam Howell pass complete short middle to Curtis Samuel for 8 yards (tackle by Tremaine Edmunds and T.J. Edwards),0.610,1.140
4,1:29,2,2,WAS 33,40,20,Sam Howell pass complete short left to John Bates for 10 yards (tackle by Tremaine Edmunds and Jaylon Jones),1.140,1.800
4,1:10,1,10,WAS 43,40,20,Sam Howell pass incomplete short left,1.800,1.250
4,1:07,2,10,WAS 43,40,20,Sam Howell pass complete short right to Terry McLaurin for 4 yards (tackle by Jaylon Jones),1.250,1.090
4,0:47,3,6,WAS 47,40,20,Sam Howell pass complete short left to Jamison Crowder for 10 yards (tackle by Jack Sanborn and Joejuan Williams),1.090,2.720
4,0:21,1,10,CHI 43,40,20,Sam Howell pass complete short middle to John Bates for 9 yards (tackle by Jack Sanborn and T.J. Edwards),2.720,3.390
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
