Quarter,Time,Tm,Detail,JAX,CAR
1.0,9:23,Panthers,Christian McCaffrey 5 yard rush (Joey Slye kick),0,7
,7:27,Jaguars,DJ Chark 37 yard pass from Gardner Minshew II (Josh Lambo kick),7,7
,1:35,Panthers,Christian McCaffrey 18 yard pass from Kyle Allen (Joey Slye kick),7,14
2.0,13:32,Panthers,Brian Burns 56 yard fumble return (Joey Slye kick),7,21
,6:07,Jaguars,DJ Chark 11 yard pass from Gardner Minshew II (Josh Lambo kick),14,21
,0:58,Jaguars,Josh Lambo 35 yard field goal,17,21
3.0,13:49,Panthers,Christian McCaffrey 84 yard rush (Joey Slye kick),17,28
,10:27,Jaguars,Leonard Fournette 1 yard rush (Josh Lambo kick),24,28
4.0,5:52,Jaguars,Josh Lambo 38 yard field goal,27,28
,3:34,Panthers,Reggie Bonnafon 59 yard rush (Joey Slye kick failed),27,34
