Unnamed: 0,JAX,CAR
First Downs,28,22
Rush-Yds-TDs,31-149-1,27-285-3
Cmp-Att-Yd-TD-INT,26-44-374-2-0,17-31-181-1-0
Sacked-Yards,2-16,3-21
Net Pass Yards,358,160
Total Yards,507,445
Fumbles-Lost,3-3,1-0
Turnovers,3,0
Penalties-Yards,9-84,8-70
Third Down Conv.,6-13,4-12
Fourth Down Conv.,0-0,0-1
Time of Possession,32:24,27:36
