Quarter,Time,Down,ToGo,Location,JAX,CAR,Detail,EPB,EPA
1,8:15,2,7,JAX 48,0,7,Gardner Minshew pass complete short left to Dede Westbrook for 15 yards (tackle by Eric Reid),1.790,3.120
1,7:34,1,10,CAR 37,6,7,"Gardner Minshew pass complete deep left to DJ Chark for 37 yards, touchdown",3.120,7.000
1,7:27,,,CAR 15,7,7,Josh Lambo kicks extra point good,0.000,0.000
1,7:27,,,JAX 35,7,7,"Josh Lambo kicks off 65 yards, touchback.",0.000,0.610
1,7:27,1,10,CAR 25,7,7,Kyle Allen pass complete short right to Curtis Samuel for 7 yards (tackle by Ronnie Harrison),0.610,1.010
1,6:59,2,3,CAR 32,7,7,Christian McCaffrey left tackle for 4 yards (tackle by Quincy Williams and Marcell Dareus),1.010,1.330
1,6:36,1,10,CAR 36,7,7,Kyle Allen pass incomplete short right,1.330,0.790
1,6:31,2,10,CAR 36,7,7,Kyle Allen pass incomplete short middle intended for D.J. Moore,0.790,0.100
1,6:28,3,10,CAR 36,7,7,Kyle Allen pass incomplete short left intended for D.J. Moore,0.100,-0.980
1,6:24,4,10,CAR 36,7,7,"Michael Palardy punts 54 yards, returned by Dede Westbrook for 15 yards (tackle by Andre Smith)",-0.980,-0.610
1,6:13,1,10,JAX 25,7,7,"Penalty on Gerald McCoy: Neutral Zone Infraction, 5 yards (no play)",0.610,1.340
1,6:13,1,5,JAX 30,7,7,Leonard Fournette right end for 1 yard (tackle by Ross Cockrell),1.340,0.870
1,5:31,2,4,JAX 31,7,7,Gardner Minshew pass incomplete short middle intended for James O'Shaughnessy (defended by Eric Reid),0.870,0.170
1,5:26,3,4,JAX 31,7,7,Gardner Minshew pass incomplete short right,0.170,-1.310
1,5:20,4,4,JAX 31,7,7,"Logan Cooke punts 55 yards, returned by Ray-Ray McCloud for -3 yards (tackle by Josh Robinson). Penalty on Leon Jacobs: Illegal Formation, 5 yards (no play)",-1.310,-1.630
1,5:09,4,9,JAX 26,7,7,"Logan Cooke punts 60 yards, fair catch by Ray-Ray McCloud at CAR-14",-1.630,0.280
1,5:01,1,10,CAR 14,7,7,Christian McCaffrey left guard for -2 yards (tackle by Yannick Ngakoue),-0.280,-0.930
1,4:30,2,12,CAR 12,7,7,Kyle Allen pass incomplete short right intended for Greg Olsen (defended by D.J. Hayden),-0.930,-1.650
1,4:27,3,12,CAR 12,7,7,Kyle Allen pass complete short right to D.J. Moore for 10 yards (tackle by Tre Herndon),-1.650,-1.900
1,3:44,4,2,CAR 22,7,7,"Michael Palardy punts 53 yards, returned by Dede Westbrook for 5 yards (tackle by Colin Jones). Penalty on Andrew Wingard: Illegal Block Above the Waist, 10 yards",-1.900,-0.280
1,3:31,1,10,JAX 20,7,7,"Gardner Minshew aborted snap, recovered by Eric Reid at JAC-24 (tackle by Leonard Fournette)",0.280,-3.970
1,3:26,1,10,JAX 24,7,7,Christian McCaffrey right tackle for 5 yards (tackle by Quincy Williams and Tre Herndon),3.970,4.120
1,2:51,2,5,JAX 19,7,7,Kyle Allen pass complete short left to Jarius Wright for 6 yards (tackle by Ronnie Harrison),4.120,4.710
1,2:07,1,10,JAX 13,7,7,"Penalty on Curtis Samuel: False Start, 5 yards (no play)",4.710,4.290
1,1:42,1,15,JAX 18,7,13,"Kyle Allen pass complete short middle to Christian McCaffrey for 18 yards, touchdown",4.290,7.000
1,1:35,,,JAX 15,7,14,Joey Slye kicks extra point good,0.000,0.000
1,1:35,,,CAR 35,7,14,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
1,1:35,1,10,JAX 25,7,14,Gardner Minshew pass complete short middle to Dede Westbrook for 12 yards (tackle by Eric Reid and Luke Kuechly),0.610,1.400
1,1:17,1,10,JAX 37,7,14,Leonard Fournette left guard for 14 yards (tackle by Ross Cockrell). Penalty on Kyle Love: Defensive Offside (Declined),1.400,2.320
1,0:52,1,10,CAR 49,7,14,Leonard Fournette left guard for 3 yards (tackle by Shaq Thompson and Luke Kuechly),2.320,2.190
1,0:08,2,7,CAR 46,7,14,Gardner Minshew pass complete short right to Dede Westbrook for 5 yards (tackle by James Bradberry),2.190,2.150
Quarter,Time,Down,ToGo,Location,JAX,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,CAR 41,7,14,Leonard Fournette left end for 3 yards (tackle by Luke Kuechly),2.150,3.050
2,14:29,1,10,CAR 38,7,14,Gardner Minshew pass complete short left to Geoff Swaim for 4 yards (tackle by Shaq Thompson and Ross Cockrell),3.050,3.050
2,13:49,2,6,CAR 34,7,14,Gardner Minshew pass incomplete short left intended for Leonard Fournette,3.050,2.340
2,13:43,3,6,CAR 34,7,20,"Gardner Minshew sacked by Mario Addison for -10 yards. Gardner Minshew fumbles (forced by Mario Addison), recovered by Brian Burns at CAR-44 and returned for 56 yards, touchdown",2.340,-7.000
2,13:32,,,JAX 15,7,21,Joey Slye kicks extra point good,0.000,0.000
2,13:32,,,CAR 35,7,21,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
2,13:32,1,10,JAX 25,7,21,Leonard Fournette right guard for 1 yard (tackle by Luke Kuechly and Eric Reid),0.610,0.200
2,12:52,2,9,JAX 26,7,21,Gardner Minshew pass incomplete short left intended for Marqise Lee (defended by Kyle Love),0.200,-0.490
2,12:47,3,9,JAX 26,7,21,"Gardner Minshew pass complete short right to Leonard Fournette for -1 yards (tackle by Shaq Thompson and Gerald McCoy). Penalty on Brian Burns: Roughing the Passer, 15 yards (no play)",-0.490,1.660
2,12:23,1,10,JAX 41,7,21,Leonard Fournette left tackle for -1 yards (tackle by Christian Miller and Luke Kuechly),1.660,0.990
2,11:41,2,11,JAX 40,7,21,Leonard Fournette right tackle for 1 yard (tackle by Eric Reid),0.990,0.430
2,10:58,3,10,JAX 41,7,21,Gardner Minshew pass incomplete short left intended for DJ Chark (defended by Ross Cockrell),0.430,-0.650
2,10:51,4,10,JAX 41,7,21,"Logan Cooke punts 38 yards, returned by Ray-Ray McCloud for 3 yards (tackle by D.J. Alexander). Penalty on D.J. Alexander: Face Mask (15 Yards), 15 yards",-0.650,-1.530
2,10:41,1,10,CAR 39,7,21,Kyle Allen pass incomplete deep left intended for Christian McCaffrey,1.530,0.990
2,10:35,2,10,CAR 39,7,21,Christian McCaffrey left guard for 4 yards (tackle by A.J. Bouye),0.990,0.830
2,9:57,3,6,CAR 43,7,21,Kyle Allen pass incomplete short right intended for Jarius Wright (defended by Myles Jack),0.830,-0.520
2,9:53,4,6,CAR 43,7,21,"Michael Palardy punts 40 yards, fair catch by Dede Westbrook at JAC-17",-0.520,0.060
2,9:46,1,10,JAX 17,7,21,Gardner Minshew pass complete short right to James O'Shaughnessy for 35 yards (tackle by James Bradberry),-0.060,2.390
2,9:09,1,10,CAR 48,7,21,Leonard Fournette right guard for 2 yards (tackle by Luke Kuechly),2.390,2.120
2,8:27,2,8,CAR 46,7,21,Gardner Minshew pass complete deep right to Dede Westbrook for 30 yards (tackle by Luke Kuechly and Javien Elliott),2.120,4.510
2,7:38,1,10,CAR 16,7,21,Leonard Fournette left guard for 6 yards (tackle by Dontari Poe),4.510,4.970
2,6:56,2,4,CAR 10,7,21,Leonard Fournette left guard for -1 yards (tackle by Shaq Thompson),4.970,3.940
2,6:13,3,5,CAR 11,13,21,"Gardner Minshew pass complete short left to DJ Chark for 11 yards, touchdown. Penalty on Brian Burns: Roughing the Passer, 15 yards",3.940,7.000
2,6:07,,,CAR 15,14,21,Josh Lambo kicks extra point good,0.000,0.000
2,6:07,,,JAX 50,14,21,"Josh Lambo kicks off 41 yards, returned by Ray-Ray McCloud for 18 yards (tackle by Andrew Wingard)",0.000,0.740
2,6:02,1,10,CAR 27,14,21,"Penalty on Ian Thomas: False Start, 5 yards (no play)",0.740,0.410
2,6:02,1,15,CAR 22,14,21,Kyle Allen sacked by Josh Allen for -9 yards,0.410,-1.790
2,5:21,2,24,CAR 13,14,21,Christian McCaffrey left tackle for 11 yards (tackle by Myles Jack and Jarrod Wilson),-1.790,-0.890
2,4:45,3,13,CAR 24,14,21,Kyle Allen pass complete deep left to D.J. Moore for 52 yards (tackle by A.J. Bouye),-0.890,3.970
2,4:14,1,10,JAX 24,14,21,"Kyle Allen sacked by Yannick Ngakoue for -12 yards. Kyle Allen fumbles (forced by Yannick Ngakoue), recovered by Curtis Samuel at JAC-38 (tackle by Myles Jack). Penalty on Greg Van Roten: Illegal Blindside Block (Declined)",3.970,1.810
2,3:45,2,22,JAX 36,14,21,Kyle Allen pass complete short right to Christian McCaffrey for -2 yards (tackle by Jarrod Wilson),1.810,0.890
2,3:06,3,24,JAX 38,14,21,Kyle Allen pass incomplete short right intended for Greg Olsen,0.890,0.720
2,3:05,4,24,JAX 38,14,21,Joey Slye 56 yard field goal no good,0.720,-1.990
2,2:57,1,10,JAX 46,14,21,Leonard Fournette left tackle for no gain (tackle by Gerald McCoy and Brian Burns),1.990,1.450
2,2:26,2,10,JAX 46,14,21,Gardner Minshew pass complete short right to Dede Westbrook for 11 yards (tackle by Shaq Thompson),1.450,2.720
2,2:00,1,10,CAR 43,14,21,Gardner Minshew pass complete short left to James O'Shaughnessy for 4 yards (tackle by Javien Elliott),2.720,2.720
2,1:30,2,6,CAR 39,14,21,Gardner Minshew pass complete short left to Leonard Fournette for 14 yards (tackle by Tre Boston),2.720,3.910
2,1:24,1,10,CAR 25,14,21,Gardner Minshew pass incomplete deep right intended for Dede Westbrook (defended by James Bradberry),3.910,3.360
2,1:17,2,10,CAR 25,14,21,Leonard Fournette up the middle for 4 yards (tackle by Shaq Thompson),3.360,3.200
2,1:11,,,,,,Timeout #1 by Carolina Panthers,,
2,1:11,3,6,CAR 21,14,21,"Gardner Minshew pass complete short left to Dede Westbrook for 3 yards, lateral to Shaq Thompson for 1 yard, lateral to Leonard Fournette for 1 yard",3.200,2.440
2,1:01,4,2,CAR 17,17,21,Josh Lambo 35 yard field goal good,2.440,3.000
2,0:58,,,JAX 35,17,21,"Josh Lambo kicks off 65 yards, touchback.",0.000,0.610
2,0:58,1,10,CAR 25,17,21,Christian McCaffrey right tackle for 1 yard (tackle by Yannick Ngakoue and Josh Allen),0.610,0.200
2,0:54,,,,,,Timeout #1 by Jacksonville Jaguars,,
2,0:54,2,9,CAR 26,17,21,Kyle Allen sacked by Yannick Ngakoue for no gain,0.200,-0.490
2,0:54,,,,,,Timeout #2 by Jacksonville Jaguars,,
2,0:49,3,9,CAR 26,17,21,Kyle Allen pass incomplete short right intended for Curtis Samuel,-0.490,-1.630
2,0:44,4,9,CAR 26,17,21,"Michael Palardy punts 57 yards, returned by Dede Westbrook for -3 yards (tackle by Jordan Scarlett)",-1.630,0.280
2,0:30,1,10,JAX 14,17,21,Gardner Minshew kneels for -1 yards,-0.280,-0.850
Quarter,Time,Down,ToGo,Location,JAX,CAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 35,17,21,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,JAX 25,17,21,Gardner Minshew pass incomplete short right,0.610,0.060
3,14:56,2,10,JAX 25,17,21,Leonard Fournette left guard for 7 yards (tackle by Bruce Irvin and Luke Kuechly),0.060,0.300
3,14:15,3,3,JAX 32,17,21,Gardner Minshew pass incomplete deep middle intended for Dede Westbrook,0.300,-1.240
3,14:10,4,3,JAX 32,17,21,"Logan Cooke punts 52 yards, fair catch by Ray-Ray McCloud at CAR-16",-1.240,0.140
3,14:01,1,10,CAR 16,17,27,"Christian McCaffrey left guard for 84 yards, touchdown",-0.140,7.000
3,13:49,,,JAX 15,17,28,Joey Slye kicks extra point good,0.000,0.000
3,13:49,,,CAR 35,17,28,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
3,13:49,1,10,JAX 25,17,28,Leonard Fournette left guard for no gain (tackle by Gerald McCoy and Eric Reid),0.610,0.060
3,13:10,2,10,JAX 25,17,28,Gardner Minshew pass complete short right to James O'Shaughnessy for 18 yards (tackle by Luke Kuechly),0.060,1.800
3,12:23,1,10,JAX 43,17,28,"Leonard Fournette right end for no gain (tackle by Shaq Thompson). Penalty on DJ Chark: Offensive Holding, 10 yards (no play)",1.800,1.140
3,11:51,1,20,JAX 33,17,28,Gardner Minshew pass complete short left to Leonard Fournette for 4 yards (tackle by Brian Burns),1.140,0.440
3,11:09,2,16,JAX 37,17,28,Gardner Minshew pass complete short middle to DJ Chark for 31 yards (tackle by Eric Reid and Ross Cockrell),0.440,3.450
3,10:40,1,10,CAR 32,17,28,Gardner Minshew pass complete deep right to DJ Chark for 31 yards (tackle by James Bradberry),3.450,6.970
3,10:30,1,1,CAR 1,23,28,"Leonard Fournette up the middle for 1 yard, touchdown. Penalty on Bruce Irvin: Defensive Offside (Declined)",6.970,7.000
3,10:27,,,CAR 15,24,28,Josh Lambo kicks extra point good,0.000,0.000
3,10:27,,,JAX 35,24,28,"Josh Lambo kicks off 65 yards, touchback.",0.000,0.610
3,10:27,1,10,CAR 25,24,28,Christian McCaffrey left guard for 4 yards (tackle by Calais Campbell and Josh Allen),0.610,0.600
3,9:49,2,6,CAR 29,24,28,Kyle Allen pass incomplete short left,0.600,-0.100
3,9:44,3,6,CAR 29,24,28,Kyle Allen pass complete short left to Christian McCaffrey for 17 yards (tackle by Jarrod Wilson and D.J. Hayden),-0.100,1.990
3,9:07,1,10,CAR 46,24,28,"Kyle Allen pass complete short right to Christian McCaffrey for 9 yards (tackle by Josh Allen). Penalty on Yannick Ngakoue: Roughing the Passer, 15 yards",1.990,3.580
3,8:35,1,10,JAX 30,24,28,Christian McCaffrey up the middle for -2 yards (tackle by Marcell Dareus),3.580,2.760
3,7:51,2,12,JAX 32,24,28,Kyle Allen left guard for 4 yards (tackle by Quincy Williams),2.760,2.610
3,7:04,3,8,JAX 28,24,28,Kyle Allen pass incomplete short right intended for Christian McCaffrey (defended by Myles Jack),2.610,1.590
3,6:55,4,8,JAX 28,24,28,Joey Slye 46 yard field goal no good,1.590,-1.330
3,6:50,1,10,JAX 36,24,28,Gardner Minshew up the middle for 9 yards (tackle by Eric Reid),1.330,2.010
3,6:12,2,1,JAX 45,24,28,Leonard Fournette left guard for 2 yards (tackle by Marquis Haynes and Efe Obada),2.010,2.060
3,5:26,1,10,JAX 47,24,28,"Gardner Minshew pass complete short right to DJ Chark for 13 yards (tackle by James Bradberry). Penalty on Jawaan Taylor: Ineligible Downfield Pass, 5 yards (no play)",2.060,1.730
3,5:02,1,15,JAX 42,24,28,Leonard Fournette up the middle for 3 yards (tackle by Shaq Thompson and Ross Cockrell),1.730,1.250
3,4:20,2,12,JAX 45,24,28,"Gardner Minshew pass complete short left to James O'Shaughnessy for 2 yards (tackle by Eric Reid). Penalty on Cam Robinson: Ineligible Downfield Pass, 4 yards (no play)",1.250,0.710
3,4:00,2,16,JAX 41,24,28,Gardner Minshew pass incomplete short left intended for Dede Westbrook (defended by Efe Obada),0.710,0.040
3,3:48,3,16,JAX 41,24,28,Gardner Minshew up the middle for 11 yards (tackle by Tre Boston),0.040,0.000
3,3:09,4,6,CAR 49,24,28,Logan Cooke punts 43 yards downed by Breon Borders,0.000,0.380
3,3:03,1,10,CAR 6,24,28,Christian McCaffrey right guard for 2 yards (tackle by Calais Campbell and Ronnie Harrison),-0.380,-0.630
3,2:17,2,8,CAR 8,24,28,Kyle Allen pass complete short right to D.J. Moore for 9 yards (tackle by Tre Herndon),-0.630,-0.060
3,1:33,1,10,CAR 17,24,28,Christian McCaffrey right guard for 18 yards (tackle by Myles Jack),-0.060,1.270
3,0:53,1,10,CAR 35,24,28,Kyle Allen pass complete short right to Curtis Samuel for 6 yards (tackle by Tre Herndon),1.270,1.530
3,0:12,2,4,CAR 41,24,28,Christian McCaffrey left guard for 16 yards (tackle by Ronnie Harrison),1.530,2.720
Quarter,Time,Down,ToGo,Location,JAX,CAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,JAX 43,24,28,Christian McCaffrey left tackle for 7 yards (tackle by Calais Campbell and A.J. Bouye),2.720,3.120
4,14:37,2,3,JAX 36,24,28,Kyle Allen pass incomplete short right intended for Jarius Wright (defended by D.J. Hayden),3.120,2.410
4,14:32,3,3,JAX 36,24,28,Christian McCaffrey left tackle for 10 yards (tackle by Jarrod Wilson),2.410,3.840
4,13:51,1,10,JAX 26,24,28,Christian McCaffrey right tackle for 3 yards (tackle by Calais Campbell and Abry Jones),3.840,3.700
4,13:21,2,7,JAX 23,24,28,Kyle Allen pass complete short right to Christian McCaffrey for 9 yards (tackle by Andrew Wingard),3.700,4.650
4,12:45,1,10,JAX 14,24,28,Kyle Allen pass incomplete short right intended for Curtis Samuel,4.650,4.000
4,12:41,2,10,JAX 14,24,28,Curtis Samuel right end for 9 yards (tackle by Najee Goode),4.000,4.960
4,12:06,3,1,JAX 5,24,28,Christian McCaffrey pass incomplete short right,4.960,3.030
4,11:59,4,1,JAX 5,24,28,Christian McCaffrey left tackle for -2 yards (tackle by Myles Jack and Abry Jones),3.030,0.380
4,11:53,1,10,JAX 7,24,28,Leonard Fournette left tackle for 48 yards (tackle by Eric Reid),-0.380,2.590
4,11:09,1,10,CAR 45,24,28,Leonard Fournette up the middle for 4 yards (tackle by Luke Kuechly and Gerald McCoy),2.590,2.580
4,10:25,2,6,CAR 41,24,28,Leonard Fournette up the middle for 5 yards (tackle by Mario Addison and Dontari Poe),2.580,2.540
4,9:39,3,1,CAR 36,24,28,Leonard Fournette right tackle for 2 yards (tackle by Eric Reid),2.540,3.310
4,9:00,1,10,CAR 34,24,28,Gardner Minshew pass complete short right to Ryquell Armstead for 7 yards (tackle by Shaq Thompson),3.310,3.720
4,8:23,2,3,CAR 27,24,28,Ryquell Armstead left guard for -1 yards (tackle by Vernon Butler),3.720,2.870
4,7:39,3,4,CAR 28,24,28,Gardner Minshew up the middle for 8 yards (tackle by Javien Elliott),2.870,4.240
4,6:53,1,10,CAR 20,24,28,Leonard Fournette left tackle for no gain (tackle by Tre Boston and Eric Reid),4.240,3.690
4,6:12,2,10,CAR 20,24,28,Gardner Minshew pass incomplete short middle intended for DJ Chark (defended by James Bradberry),3.690,3.010
4,6:06,3,10,CAR 20,24,28,Gardner Minshew pass incomplete short left intended for Leonard Fournette,3.010,2.120
4,5:57,4,10,CAR 20,27,28,Josh Lambo 38 yard field goal good,2.120,3.000
4,5:52,,,JAX 35,27,28,"Josh Lambo kicks off 65 yards, touchback.",0.000,0.610
4,5:52,1,10,CAR 25,27,28,Christian McCaffrey right guard for 2 yards (tackle by Marcell Dareus and Myles Jack),0.610,0.330
4,5:09,2,8,CAR 27,27,28,Kyle Allen pass complete short left to D.J. Moore for 7 yards (tackle by A.J. Bouye),0.330,0.560
4,4:29,3,1,CAR 34,27,28,Kyle Allen pass complete short middle to D.J. Moore for 7 yards (tackle by Najee Goode),0.560,1.660
4,3:46,1,10,CAR 41,27,34,"Reggie Bonnafon up the middle for 59 yards, touchdown",1.660,7.000
4,3:34,,,JAX 15,27,34,Joey Slye kicks extra point no good wide right,0.000,-1.000
4,3:34,,,CAR 35,27,34,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
4,3:34,1,10,JAX 25,27,34,Gardner Minshew right end for 5 yards (tackle by Bruce Irvin),0.610,0.740
4,3:26,2,5,JAX 30,27,34,Gardner Minshew pass complete short left to DJ Chark for 10 yards (tackle by Javien Elliott),0.740,1.600
4,3:20,1,10,JAX 40,27,34,Gardner Minshew up the middle for 11 yards (tackle by Luke Kuechly),1.600,2.320
4,2:50,1,10,CAR 49,27,34,Gardner Minshew pass complete short left to Leonard Fournette for 7 yards (tackle by Ross Cockrell),2.320,2.730
4,2:43,2,3,CAR 42,27,34,Gardner Minshew pass complete short left to Leonard Fournette for 3 yards (tackle by Shaq Thompson),2.730,2.980
4,2:37,1,10,CAR 39,27,34,Gardner Minshew pass incomplete short left,2.980,2.440
4,2:33,2,10,CAR 39,27,34,"Gardner Minshew sacked by Brian Burns for -6 yards. Gardner Minshew fumbles (forced by Brian Burns), recovered by Marquis Haynes at CAR-45 and returned for 15 yards (tackle by Ryquell Armstead). Penalty on Matt Paradis: Unsportsmanlike Conduct, 15 yards",2.440,-1.930
4,2:19,1,10,CAR 45,27,34,Reggie Bonnafon right tackle for 18 yards (tackle by Myles Jack and Tre Herndon),1.930,3.120
4,2:11,,,,,,Timeout #1 by Jacksonville Jaguars,,
4,2:11,1,10,JAX 37,27,34,Reggie Bonnafon up the middle for -2 yards (tackle by Myles Jack and Calais Campbell),3.120,2.300
4,2:00,2,12,JAX 39,27,34,Reggie Bonnafon up the middle for no gain (tackle by Calais Campbell),2.300,1.620
4,1:57,,,,,,Timeout #2 by Jacksonville Jaguars,,
4,1:57,3,12,JAX 39,27,34,Kyle Allen pass incomplete deep right intended for Curtis Samuel (defended by Tre Herndon),1.620,0.660
4,1:53,4,12,JAX 39,27,34,Michael Palardy punts 34 yards out of bounds,0.660,0.380
4,1:45,1,10,JAX 5,27,34,Gardner Minshew pass incomplete short middle intended for Chris Conley (defended by Tre Boston),-0.380,-0.780
4,1:41,2,10,JAX 5,27,34,Gardner Minshew pass incomplete deep right intended for Dede Westbrook,-0.780,-1.420
4,1:35,3,10,JAX 5,27,34,Gardner Minshew pass complete deep left to Chris Conley for 26 yards (tackle by Ross Cockrell),-1.420,1.000
4,1:10,1,10,JAX 31,27,34,Gardner Minshew pass complete short right to DJ Chark for 11 yards (tackle by James Bradberry),1.000,1.730
4,1:03,,,,,,Timeout #3 by Jacksonville Jaguars,,
4,1:03,1,10,JAX 42,27,34,Gardner Minshew pass incomplete short right intended for Leonard Fournette,1.730,1.190
4,0:58,2,10,JAX 42,27,34,Gardner Minshew pass complete short right to DJ Chark for 13 yards (tackle by James Bradberry),1.190,2.590
4,0:52,1,10,CAR 45,27,34,Gardner Minshew pass complete short middle to Dede Westbrook for 6 yards (tackle by Luke Kuechly),2.590,2.850
4,0:31,2,4,CAR 39,27,34,Gardner Minshew pass incomplete deep left intended for DJ Chark,2.850,2.150
4,0:25,3,4,CAR 39,27,34,Gardner Minshew pass complete short left to Marqise Lee for 5 yards (tackle by Ross Cockrell),2.150,3.310
4,0:19,1,10,CAR 34,27,34,Gardner Minshew pass incomplete deep left intended for Chris Conley (defended by Eric Reid),3.310,2.770
4,0:10,,,,,,Timeout #1 by Carolina Panthers,,
4,0:10,2,10,CAR 34,27,34,"Gardner Minshew pass deep right is intercepted by Eric Reid at CAR-0 and returned for no gain. Penalty on Mario Addison: Illegal Use of Hands, 5 yards (no play)",2.770,3.640
4,0:02,1,10,CAR 29,27,34,"Gardner Minshew pass incomplete deep right intended for Leonard Fournette. Penalty on Brian Burns: Defensive Offside, 5 yards (no play)",3.640,4.370
4,0:00,1,5,CAR 24,27,34,Gardner Minshew pass incomplete short right (defended by Luke Kuechly),4.370,3.780
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
