Player,Pos
Mac Jones,QB
Rhamondre Stevenson,RB
Kendrick Bourne,WR
Demario Douglas,WR
DeVante Parker,WR
Hunter Henry,TE
Trent Brown,OL
Cole Strange,OL
Sidy Sow,OL
Michael Onwenu,OL
David Andrews,C
Deatrich Wise Jr.,DL
Davon Godchaux,DL
Lawrence Guy,DL
Ja'Whaun Bentley,LB
Jahlani Tavai,LB
Anfernee Jennings,LB
J.C. Jackson,CB
Jabrill Peppers,DB
Jalen Mills,DB
Jonathan Jones,DB
Kyle Dugger,DB
